candidate_id,fold,row_type,max_depth,min_samples_leaf,min_samples_split,max_features,criterion,n_estimators,bootstrap,n_train_unique,n_train_augmented,n_val,train_accuracy,train_roc_auc,train_log_loss,train_brier,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_log_loss,val_brier,train_val_auc_gap,train_val_log_loss_gap,fit_seconds,val_log_loss_mean,val_log_loss_std,val_roc_auc_mean,val_roc_auc_std,val_brier_mean,val_brier_std,val_accuracy_mean,val_accuracy_std,val_precision_mean,val_recall_mean,val_f1_mean,train_log_loss_mean,train_roc_auc_mean,train_accuracy_mean,train_val_auc_gap_mean,train_val_log_loss_gap_mean,mean_fit_seconds
anchor_moderate_depth10_leaf20,3.0,fold,10.0,20,20,sqrt,gini,400,True,4545.0,9090.0,1609.0,0.7350935093509351,0.819925122414003,0.5978118832347135,0.2038461918858281,0.5755127408328155,0.5812562313060817,0.6891252955082743,0.6306111411573824,0.6206882128217284,0.6667446633531667,0.23720221221819598,0.19923690959227458,0.06893278011845327,0.8369583999992756,,,,,,,,,,,,,,,,,
anchor_moderate_depth10_leaf20,4.0,fold,10.0,20,20,sqrt,gini,400,True,6154.0,12308.0,1608.0,0.7170945726356841,0.8052585266923118,0.6008421261517818,0.20557138731055766,0.5889303482587065,0.6042726347914548,0.6859122401847575,0.6425094645754462,0.6259609818043737,0.6624339839315548,0.2353552080025506,0.17929754488793814,0.06159185777977305,1.0176396999995632,,,,,,,,,,,,,,,,,
anchor_leaf40_conservative,1.0,fold,,40,40,sqrt,gini,400,True,1221.0,2442.0,1544.0,0.687960687960688,0.772230464219243,0.6239436937254174,0.21610373188070314,0.5939119170984456,0.6053811659192825,0.6625766871165644,0.632688927943761,0.6158230031895107,0.6723765446665392,0.23974558957581737,0.15640746102973235,0.04843285094112182,0.5002816000014718,,,,,,,,,,,,,,,,,
anchor_leaf40_conservative,2.0,fold,,40,40,sqrt,gini,400,True,2765.0,5530.0,1780.0,0.694755877034358,0.77749796443674,0.6133143310174881,0.2112580311009333,0.5702247191011236,0.5850277264325323,0.667017913593256,0.6233382570162481,0.5938006819516142,0.6767673232547154,0.2419977713640072,0.18369728248512585,0.06345299223722733,0.6804378000015276,,,,,,,,,,,,,,,,,
anchor_leaf40_conservative,3.0,fold,,40,40,sqrt,gini,400,True,4545.0,9090.0,1609.0,0.7045104510451045,0.7874659183315529,0.6110541816583185,0.21014947778397566,0.579241765071473,0.5834155972359328,0.6985815602836879,0.6358257127487896,0.6241336146665055,0.6661868756646906,0.23692010086689133,0.16333230366504736,0.05513269400637211,0.8932733999972697,,,,,,,,,,,,,,,,,
anchor_leaf40_conservative,4.0,fold,,40,40,sqrt,gini,400,True,6154.0,12308.0,1608.0,0.7102697432564186,0.7889777828665206,0.6081468915803514,0.20891715682219503,0.5851990049751243,0.5992023928215354,0.6939953810623557,0.6431246655965757,0.629787790317661,0.6612600430940472,0.23473998748740213,0.15918999254885968,0.05311315151369578,1.003848200001812,,,,,,,,,,,,,,,,,
anchor_deeper_but_regularized,1.0,fold,12.0,40,40,sqrt,gini,400,True,1221.0,2442.0,1544.0,0.6895986895986896,0.7721765166023791,0.6239486312102721,0.21610631841881656,0.5952072538860104,0.6065022421524664,0.6638036809815951,0.6338605741066198,0.6157388472316898,0.6723570366867995,0.23973648488448343,0.15643766937068926,0.04840840547652736,0.513897700002417,,,,,,,,,,,,,,,,,
anchor_deeper_but_regularized,2.0,fold,12.0,40,40,sqrt,gini,400,True,2765.0,5530.0,1780.0,0.6943942133815552,0.7759858692511754,0.6140324391941533,0.21160632997090506,0.5713483146067416,0.5865921787709497,0.6638566912539515,0.6228373702422145,0.5949533298081837,0.6763336194216604,0.24178687431718787,0.1810325394429917,0.06230118022750708,0.700480499999685,,,,,,,,,,,,,,,,,
anchor_deeper_but_regularized,3.0,fold,12.0,40,40,sqrt,gini,400,True,4545.0,9090.0,1609.0,0.7031903190319032,0.7798285328947651,0.6147077040772354,0.21190494854740144,0.5823492852703542,0.5856299212598425,0.7033096926713948,0.6390977443609023,0.6233799330129606,0.6666527665122695,0.23713241073809446,0.15644859988180448,0.05194506243503405,0.8494807000024593,,,,,,,,,,,,,,,,,
anchor_deeper_but_regularized,4.0,fold,12.0,40,40,sqrt,gini,400,True,6154.0,12308.0,1608.0,0.6985700357491063,0.7747136654480188,0.6140345533044175,0.21176243572002018,0.5839552238805971,0.5997973657548126,0.6836027713625866,0.638963842417701,0.6273740530244081,0.6620520418990402,0.2351084031281205,0.1473396124236107,0.04801748859462274,1.0695979000010993,,,,,,,,,,,,,,,,,
anchor_fractional_max_features,1.0,fold,8.0,20,10,0.4,gini,400,True,1221.0,2442.0,1544.0,0.7665847665847666,0.860239257680792,0.5737032486200438,0.19220094167152252,0.5764248704663213,0.5924225028702641,0.6331288343558282,0.6120996441281139,0.606673567455208,0.6742602944147533,0.2407106067357748,0.25356569022558406,0.10055704579470948,0.6685902999997779,,,,,,,,,,,,,,,,,
anchor_fractional_max_features,2.0,fold,8.0,20,10,0.4,gini,400,True,2765.0,5530.0,1780.0,0.7244122965641953,0.8222687994116566,0.5875923975644058,0.19922404274099212,0.5837078651685393,0.5964749536178108,0.6775553213909379,0.6344351258016774,0.5942324493830354,0.6776542177329719,0.24240004549349156,0.22803635002862122,0.09006182016856601,1.1263212000012572,,,,,,,,,,,,,,,,,
anchor_fractional_max_features,3.0,fold,8.0,20,10,0.4,gini,400,True,4545.0,9090.0,1609.0,0.7102310231023102,0.7994688295895189,0.6028566918433388,0.2064384936621743,0.5786202610316967,0.5850202429149798,0.6832151300236406,0.6303162486368593,0.6188012976027811,0.6673499870581947,0.23750016958426992,0.1806675319867378,0.06449329521485592,1.8577878000032797,,,,,,,,,,,,,,,,,
anchor_fractional_max_features,4.0,fold,8.0,20,10,0.4,gini,400,True,6154.0,12308.0,1608.0,0.694995125121872,0.7777524930864657,0.6094700593998265,0.20986959663482974,0.5901741293532339,0.6052899287894201,0.687066974595843,0.6435911303407247,0.6294796536419265,0.6608911451816276,0.23461086111164392,0.14827283944453917,0.05142108578180116,2.6519126999992295,,,,,,,,,,,,,,,,,
anchor_log_loss_criterion,1.0,fold,8.0,20,10,sqrt,log_loss,400,True,1221.0,2442.0,1544.0,0.7321867321867321,0.8257451514579345,0.5987937070704774,0.2040233479768358,0.5848445595854922,0.5984162895927602,0.649079754601227,0.6227192466156563,0.6143553232851119,0.6722925446153507,0.23973261377469246,0.2113898281728226,0.0734988375448733,0.555317099999229,,,,,,,,,,,,,,,,,
anchor_log_loss_criterion,2.0,fold,8.0,20,10,sqrt,log_loss,400,True,2765.0,5530.0,1780.0,0.7009041591320072,0.7890426286344654,0.6091817832117766,0.20931703634488863,0.5741573033707865,0.5872146118721461,0.6775553213909379,0.6291585127201565,0.5960134107851828,0.6764712735881157,0.24182864962317133,0.19302921784928262,0.06728949037633902,0.6897839999983262,,,,,,,,,,,,,,,,,
anchor_log_loss_criterion,3.0,fold,8.0,20,10,sqrt,log_loss,400,True,4545.0,9090.0,1609.0,0.6913091309130913,0.7650709905938291,0.6215409277897544,0.2152592608023857,0.581727781230578,0.5872855701311807,0.6879432624113475,0.6336418072945019,0.6256750601860889,0.6654293002329357,0.23658346572347824,0.13939593040774023,0.04388837244318122,0.8925490000001446,,,,,,,,,,,,,,,,,
anchor_log_loss_criterion,4.0,fold,8.0,20,10,sqrt,log_loss,400,True,6154.0,12308.0,1608.0,0.670620734481638,0.7420085798325697,0.6262948792360163,0.2178223220037422,0.5876865671641791,0.6018054162487463,0.6928406466512702,0.644122383252818,0.6282984630516113,0.6611853522674851,0.23480064890282024,0.11371011678095844,0.03489047303146875,1.1104453000007197,,,,,,,,,,,,,,,,,
random_001,1.0,fold,5.0,20,10,sqrt,log_loss,400,True,1221.0,2442.0,1544.0,0.6601146601146601,0.7437838858468427,0.6360874667313201,0.2220029427848659,0.5906735751295337,0.6033898305084746,0.6552147239263804,0.6282352941176471,0.6161562607824822,0.672087628646996,0.23962120742532245,0.12762762506436054,0.0360001619156759,0.5049252000026172,,,,,,,,,,,,,,,,,
random_001,2.0,fold,5.0,20,10,sqrt,log_loss,400,True,2765.0,5530.0,1780.0,0.6329113924050633,0.6944062721613742,0.6470763808223575,0.22750911765738,0.5702247191011236,0.585981308411215,0.660695468914647,0.6210995542347697,0.5925878022213515,0.6773982256230787,0.24227501429176732,0.10181846994002264,0.030321844800721198,0.6498127999984717,,,,,,,,,,,,,,,,,
random_001,3.0,fold,5.0,20,10,sqrt,log_loss,400,True,4545.0,9090.0,1609.0,0.6162816281628163,0.6676838504517194,0.6564651189424406,0.23207698802655716,0.584213797389683,0.5887662988966901,0.693853427895981,0.6370048833423766,0.6286804916514072,0.6671206812779003,0.23729007955069115,0.03900335880031225,0.010655562335459612,0.7799889000016265,,,,,,,,,,,,,,,,,
random_001,4.0,fold,5.0,20,10,sqrt,log_loss,400,True,6154.0,12308.0,1608.0,0.6039974000649984,0.6543914526081663,0.657953889613341,0.23294724818899673,0.5870646766169154,0.602020202020202,0.6882217090069284,0.6422413793103449,0.6260543565545962,0.6621615552262369,0.235195663952514,0.028337096053570154,0.004207665612895872,0.9121524000001955,,,,,,,,,,,,,,,,,
random_002,1.0,fold,5.0,20,20,0.6,log_loss,400,True,1221.0,2442.0,1544.0,0.6871416871416871,0.7745272840072289,0.6200351959560393,0.21432446878852668,0.5841968911917098,0.5990836197021764,0.6417177914110429,0.6196682464454977,0.6127715081589201,0.6719950580119577,0.23962451485149924,0.1617557758483088,0.051959862055918404,0.7806182999993325,,,,,,,,,,,,,,,,,
random_002,2.0,fold,5.0,20,20,0.6,log_loss,400,True,2765.0,5530.0,1780.0,0.6459312839059674,0.709632547999895,0.6371907839198127,0.22295406697689427,0.5814606741573034,0.5949720670391061,0.6733403582718651,0.6317350469599604,0.5896218579567574,0.6783914053966738,0.24277438558993042,0.12001069004313758,0.0412006214768611,1.5380890000014915,,,,,,,,,,,,,,,,,
random_002,3.0,fold,5.0,20,20,0.6,log_loss,400,True,4545.0,9090.0,1609.0,0.6286028602860286,0.680844789816586,0.6485701273349853,0.22837698982816373,0.581727781230578,0.5852216748768473,0.7021276595744681,0.6383664696399785,0.624960108319468,0.6660005258189188,0.23683994056209745,0.055884681497118005,0.017430398483933462,2.4439101999996637,,,,,,,,,,,,,,,,,
random_002,4.0,fold,5.0,20,20,0.6,log_loss,400,True,6154.0,12308.0,1608.0,0.6143971400714983,0.6642136805552242,0.6517763802215469,0.23012630674763887,0.5883084577114428,0.6040816326530613,0.6836027713625866,0.6413867822318526,0.6294516412168598,0.6608547302059466,0.23462386299043048,0.034762039338364414,0.009078349984399714,3.516312799998559,,,,,,,,,,,,,,,,,
