feature,coefficient,abs_coefficient
elo_diff,0.403277317941568,0.403277317941568
overall_win_rate_diff,0.012350741597858495,0.012350741597858495
win_rate_last_5_diff,-0.023622039501338135,0.023622039501338135
win_rate_last_10_diff,-0.04385517360319334,0.04385517360319334
format_win_rate_diff,-0.0378363863220325,0.0378363863220325
avg_series_margin_last_5_diff,0.06959233453586793,0.06959233453586793
avg_series_margin_last_10_diff,0.07266335942266904,0.07266335942266904
matches_last_30_days_diff,0.0022349906975867575,0.0022349906975867575
days_since_last_match_diff,-0.013665318673472348,0.013665318673472348
total_matches_before_diff,0.14943984947128464,0.14943984947128464
history_matches_min,1.2643557758033421e-18,1.2643557758033421e-18
history_matches_sum,-2.468570066836046e-18,2.468570066836046e-18
both_teams_have_history,7.394890554657604e-18,7.394890554657604e-18
both_teams_have_5_matches,-5.776784849069502e-19,5.776784849069502e-19
both_teams_have_10_matches,2.469480347103408e-18,2.469480347103408e-18
bestOf_BO3,-4.348449027891036e-18,4.348449027891036e-18
bestOf_BO5,1.8052051768097887e-19,1.8052051768097887e-19
tier_tier2,-3.27420838757553e-18,3.27420838757553e-18
tier_tier3,-1.0756345297983858e-18,1.0756345297983858e-18
