feature,impurity_importance,fold_val_permutation_mean,fold_val_permutation_std,family
elo_diff,0.12446925750351269,0.008698166489052205,0.002371171564689167,A_original_v1
map_pool_best_elo_diff,0.06901989772950445,0.0027897525270039053,0.00194796491504202,B_pool_depth
map_pool_total_matches_diff,0.059713921432004,0.005243116015548282,0.004330174681135869,B_pool_depth
map_pool_second_best_elo_diff,0.04590750953141943,0.0005787098893623832,0.0014055757556936145,B_pool_depth
total_matches_before_diff,0.043362853831921726,0.0022796050626101017,0.003682015980792375,A_original_v1
map_matchup_mean_elo_advantage,0.03959653675969324,-0.00042546129525233845,0.001885831139677449,C_same_map_matchup
map_pool_mean_elo_diff,0.03519288005804578,-2.6745136366740385e-05,0.0022802156732224274,B_pool_depth
overall_win_rate_diff,0.03281622204098018,0.0007698967081298553,0.003417058698101318,A_original_v1
map_pool_third_best_elo_diff,0.03225768230874461,-0.0005054945157286827,0.0005575732112034694,B_pool_depth
map_pool_mean_normalized_margin_diff,0.027546727665703208,0.0015740164123377337,0.0014028481509533218,B_pool_depth
format_win_rate_diff,0.026895653379009583,0.0014951222932270164,0.0022110120446048377,A_original_v1
map_matchup_midrange_elo_advantage,0.026053008373404088,-0.00048526762246166034,0.0006991114250332218,C_same_map_matchup
map_matchup_median_elo_advantage,0.02457003858339187,-0.00015607752773769135,0.00042656190310039546,C_same_map_matchup
avg_series_margin_last_10_diff,0.023580267808542922,-0.00019776280313557604,0.0008926581971130113,A_original_v1
map_pool_experienced_maps_diff,0.023522244656000946,0.0020893921739336433,0.002213936898563377,B_pool_depth
map_matchup_median_smoothed_wr_advantage,0.021638860523229216,-5.368144808417518e-05,0.0004130229973439348,C_same_map_matchup
history_matches_min,0.021150747877094648,0.0006724233767742838,0.0009223443707439436,A_original_v1
map_pool_size_diff,0.02073875421367615,0.00045558978848364844,0.0014532265749280498,B_pool_depth
days_since_last_match_diff,0.020688250244139117,0.0011434368152212688,0.0008261025068247935,A_original_v1
map_pool_best_smoothed_wr_diff,0.0204712697408739,-0.0003553876812795037,0.0010487827751130485,B_pool_depth
map_pool_mean_smoothed_wr_diff,0.020452181353022,-0.0005093120212005586,0.0006893194182026124,B_pool_depth
map_pool_second_best_smoothed_wr_diff,0.019320124455708028,-0.00015777527419910675,0.0012402837015928552,B_pool_depth
map_pool_worst_elo_diff,0.01863672203981975,-7.462047677348209e-05,0.0017212544046203613,B_pool_depth
map_matchup_mean_smoothed_wr_advantage,0.018248362070104523,-0.00014833442197599854,0.0010379419840894123,C_same_map_matchup
map_pool_total_matches_min,0.017388199859538225,0.00029717824997971265,0.000845600141478132,D_coverage_confidence
history_matches_sum,0.016677915248533334,0.00032817582602558126,0.0009725831515552758,A_original_v1
map_matchup_elo_advantage_range,0.016345635660929416,-0.0003581804734742566,0.0009013685113908087,D_coverage_confidence
avg_series_margin_last_5_diff,0.015423141946111872,0.00013089272122885354,0.0005561184425802388,A_original_v1
map_pool_third_best_smoothed_wr_diff,0.015118306684110659,-0.00030310369728606405,0.00039891355723711196,B_pool_depth
map_pool_worst_smoothed_wr_diff,0.014928766411194172,-0.00011876270973432688,0.0010664155702802402,B_pool_depth
win_rate_last_10_diff,0.014478558382916645,-0.0010331675955689013,0.0009652606856401087,A_original_v1
matches_last_30_days_diff,0.011169940165053738,-0.00017531523829135144,0.0008626470507768879,A_original_v1
win_rate_last_5_diff,0.010717737611550477,0.00021607060762732222,0.0006262541458036362,A_original_v1
map_matchup_positive_advantage_balance,0.009059132706857972,-1.264618160678743e-05,0.00042672617153951983,C_same_map_matchup
map_matchup_shared_coverage,0.007847699840713365,0.00012648543417180245,0.0004603560323649456,D_coverage_confidence
shared_experienced_map_count,0.005362339613235476,-0.00013562464281762778,0.0003392111889885879,D_coverage_confidence
both_teams_have_5_matches,0.004673092550242884,0.00030160491280580015,0.00026980260306064095,A_original_v1
map_pool_size_min,0.004666208205752626,3.155836568331238e-05,0.00032123716515430287,D_coverage_confidence
shared_recent_map_count,0.004561852905766734,-0.0001412628977513819,0.00030704303043243875,D_coverage_confidence
tier_tier2,0.0041342062102989,0.0007168792720795403,0.00033560495114695057,A_original_v1
union_map_count,0.0030975400206391668,0.00014971765726495834,0.00021706147158349147,D_coverage_confidence
bestOf_BO3,0.00182568831354103,0.0001792714567291076,0.00021322339133680374,A_original_v1
both_teams_have_5_experienced_maps,0.00175455801406169,-0.0001088418225257015,0.00037663870724476264,D_coverage_confidence
both_teams_have_history,0.0017492049888996075,5.292793575716048e-05,5.142303343137922e-05,A_original_v1
both_teams_have_10_matches,0.0015705616851825013,0.00010413142072630276,0.00016407402398115354,A_original_v1
both_teams_have_3_recent_maps,0.0008881531670784004,-1.162567899883893e-05,4.5672911287232455e-05,D_coverage_confidence
both_teams_have_map_pool_history,0.0004984195883610932,-4.6805470954602854e-05,0.00014909139242649385,D_coverage_confidence
tier_tier3,0.00021316603988413586,-9.751148615771977e-06,2.94619332427104e-05,A_original_v1
bestOf_BO5,0.0,0.0,0.0,A_original_v1
