family,mean_auc_decrease_across_folds,std_auc_decrease_across_folds,scope
H_player_performance,0.007694450572694076,0.003625529913558266,full_data
I_roster_stability,0.0016841186696013673,0.0011412918484083104,full_data
J_confidence_evidence,-0.0006819405311723147,0.004006061686953593,full_data
H_player_performance,0.011001237586283788,0.00749705154076064,coverage_rich
I_roster_stability,5.7310813884500775e-05,0.00043450196958434446,coverage_rich
J_confidence_evidence,-0.0010154070214163813,0.0037730396249338726,coverage_rich
H1_adr,0.00038290399395429775,0.00025323056921427095,full_data
H2_kast,0.004352729410549708,0.00373995919699958,full_data
H3_kd_balance,0.0004287520537796519,0.0013345300318425956,full_data
H4_assists_per_round,0.0001113281831384344,0.0003064201359475765,full_data
H1_adr,0.0003717011462068626,0.0007747388820096934,coverage_rich
H2_kast,0.004707576456109428,0.0052637298306088855,coverage_rich
H3_kd_balance,0.0001413169423119115,0.0019672075168548093,coverage_rich
H4_assists_per_round,-4.709786517626269e-05,0.0003720323844517538,coverage_rich
