fold,model,v2_log_loss,v3_log_loss,delta_log_loss,v2_brier,v3_brier,delta_brier,v2_roc_auc,v3_roc_auc,delta_roc_auc,v2_accuracy,v3_accuracy,delta_accuracy,v2_f1,v3_f1,delta_f1
1,random_forest,0.6699061043454829,0.6697985700208279,-0.00010753432465504531,0.23861362304125916,0.23851430016383954,-9.932287741962198e-05,0.6193979482777483,0.6209767140464708,0.001578765768722512,0.5926165803108808,0.5887305699481865,-0.0038860103626943143,0.6310850439882698,0.6293053123175715,-0.0017797316706983368
1,xgboost,0.6721318274469306,0.6708267752996548,-0.0013050521472757204,0.23964692652225494,0.23899659514427185,-0.0006503313779830933,0.6148964460939013,0.6198582813670293,0.00496183527312799,0.5809585492227979,0.591321243523316,0.010362694300518172,0.6223000583771162,0.6342028985507246,0.011902840173608431
2,random_forest,0.6755924034504859,0.6764791955170694,0.0008867920665834861,0.24141924020460515,0.24185658112065536,0.0004373409160502162,0.5973974758406784,0.5931508117354514,-0.004246664105227005,0.5775280898876405,0.5786516853932584,0.0011235955056179137,0.6280909990108803,0.629812438302073,0.0017214392911927279
2,xgboost,0.6780729291446405,0.6771719559429012,-0.000900973201739208,0.24256590008735657,0.24213208258152008,-0.0004338175058364868,0.5916595973467542,0.5932173838063755,0.0015577864596212354,0.5786516853932584,0.5786516853932584,0.0,0.629080118694362,0.6305418719211823,0.0014617532268202948
3,random_forest,0.6657370684413463,0.6651591144072487,-0.0005779540340975498,0.23669196845923157,0.23644332116886133,-0.00024864729037024635,0.6279880030612024,0.6278749120833838,-0.00011309097781864175,0.5786202610316967,0.5885643256681169,0.009944064636420169,0.6343042071197411,0.6382513661202186,0.003947159000477485
3,xgboost,0.6665549440569457,0.6666287152164637,7.377115951801017e-05,0.23702508211135864,0.2370789796113968,5.389750003814697e-05,0.6275976068090064,0.6254635955494827,-0.002134011259523727,0.5860783095090119,0.5885643256681169,0.0024860161591050423,0.6415500538213132,0.6402173913043478,-0.0013326625169653994
4,random_forest,0.6610357044567025,0.6603218541762806,-0.0007138502804218128,0.23473732997090024,0.2343253667451297,-0.00041196322577055633,0.6281264978866181,0.6307635564574865,0.002637058570868378,0.585820895522388,0.5907960199004975,0.00497512437810943,0.6403887688984882,0.6469957081545065,0.006606939256018296
4,xgboost,0.6605478395344445,0.6597370882111752,-0.0008107513232693542,0.23427699506282806,0.23385676741600037,-0.00042022764682769775,0.6338379201085637,0.6366780687611662,0.0028401486526025144,0.5920398009950248,0.5945273631840796,0.0024875621890547706,0.6438653637350705,0.6509635974304069,0.007098233695336353
