candidate_id,fold,row_type,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,unique_fold_train_matches,unique_inner_fit_matches,augmented_inner_fit_observations,inner_early_stop_matches,fold_validation_matches,best_iteration,effective_n_estimators,best_score_inner_early_stop,train_accuracy,train_roc_auc,train_log_loss,train_brier,train_f1,val_accuracy,val_roc_auc,val_log_loss,val_brier,val_f1,train_val_acc_gap,train_val_auc_gap,train_val_log_loss_gap,val_log_loss_mean,val_log_loss_std,val_roc_auc_mean,val_roc_auc_std,val_brier_mean,val_brier_std,val_accuracy_mean,val_accuracy_std,val_f1_mean,val_f1_std,train_accuracy_mean,train_roc_auc_mean,train_val_acc_gap_mean,train_val_auc_gap_mean,train_val_log_loss_gap_mean,median_effective_n_estimators
xgb_v1_structure_reference,1.0,fold,0.05,4,1,0.9,0.9,0.0,0.0,1.0,1323.0,1091.0,2182.0,232.0,1325.0,84.0,85.0,0.67229806670341,0.7002749770852429,0.7915220406644339,0.5993659432331392,0.20516861975193024,0.7263598326359832,0.5766037735849057,0.5861175932280943,0.6833973649991875,0.24507051706314087,0.6074177746675997,0.12367120350033722,0.20540444743633957,0.08403142176604828,,,,,,,,,,,,,,,,
xgb_v1_structure_reference,2.0,fold,0.05,4,1,0.9,0.9,0.0,0.0,1.0,2648.0,2185.0,4370.0,463.0,1323.0,33.0,34.0,0.676798405709071,0.62883295194508,0.6900415259566735,0.6455386342167118,0.22689121961593628,0.6688444262964476,0.6122448979591837,0.6327832209946032,0.6611810568834924,0.23441103100776672,0.6675307841866494,0.016588053985896356,0.057258304962070294,0.01564242266678062,,,,,,,,,,,,,,,,
xgb_v1_structure_reference,3.0,fold,0.05,4,1,0.9,0.9,0.0,0.0,1.0,3971.0,3275.0,6550.0,696.0,1323.0,48.0,49.0,0.6641695289390868,0.6308396946564886,0.6916565664757769,0.6392809702679282,0.2240949273109436,0.6642599277978339,0.5510204081632653,0.5895712309820194,0.677801064694675,0.24244363605976105,0.5886426592797784,0.07981928649322334,0.10208533549375753,0.038520094426746865,,,,,,,,,,,,,,,,
xgb_v1_structure_reference,4.0,fold,0.05,4,1,0.9,0.9,0.0,0.0,1.0,5294.0,4367.0,8734.0,927.0,1325.0,52.0,53.0,0.6645083774640722,0.6194183650103046,0.6815408404822839,0.6410058098754681,0.22501428425312042,0.6597051597051597,0.5652830188679245,0.6133033552404012,0.6669939735935295,0.2373235672712326,0.621550591327201,0.054135346142380025,0.06823748524188267,0.025988163718061452,,,,,,,,,,,,,,,,
anchor_shallow_depth2_conservative,1.0,fold,0.05,2,20,0.9,0.9,0.0,0.0,1.0,1323.0,1091.0,2182.0,232.0,1325.0,41.0,42.0,0.6680385794105201,0.5985334555453712,0.630143103623262,0.6695363104507883,0.2383650839328766,0.6484751203852327,0.5811320754716981,0.6064699153511782,0.6755009855955442,0.24126073718070984,0.6326935804103243,0.01740138007367309,0.023673188272083756,0.005964675144755849,,,,,,,,,,,,,,,,
anchor_shallow_depth2_conservative,2.0,fold,0.05,2,20,0.9,0.9,0.0,0.0,1.0,2648.0,2185.0,4370.0,463.0,1323.0,65.0,66.0,0.6744844672103165,0.6018306636155606,0.6445935328759802,0.6605990192865564,0.2341209203004837,0.6477732793522267,0.600151171579743,0.6175375813587196,0.6667921345793394,0.23700158298015594,0.6632718014003819,0.0016794920358176313,0.02705595151726059,0.006193115292782991,,,,,,,,,,,,,,,,
anchor_shallow_depth2_conservative,3.0,fold,0.05,2,20,0.9,0.9,0.0,0.0,1.0,3971.0,3275.0,6550.0,696.0,1323.0,100.0,101.0,0.664181095258943,0.6100763358778626,0.6502258838230236,0.6561364717189869,0.23210743069648743,0.6465541101577637,0.6024187452758881,0.6367312125403413,0.6590250319196328,0.23349374532699585,0.6530343007915568,0.007657590601974462,0.013494671282682336,0.0028885602006458733,,,,,,,,,,,,,,,,
anchor_shallow_depth2_conservative,4.0,fold,0.05,2,20,0.9,0.9,0.0,0.0,1.0,5294.0,4367.0,8734.0,927.0,1325.0,78.0,79.0,0.6631538174652616,0.6056789558049004,0.6425740367367879,0.6587028985709289,0.23328889906406403,0.6592797783933518,0.5984905660377359,0.627561397440332,0.6635347047907804,0.23552531003952026,0.6509186351706037,0.007188389767164516,0.01501263929645591,0.004831806219851464,,,,,,,,,,,,,,,,
anchor_shallow_depth3_conservative,1.0,fold,0.05,3,10,0.9,0.9,0.0,0.0,1.0,1323.0,1091.0,2182.0,232.0,1325.0,46.0,47.0,0.673386687862462,0.6214482126489459,0.6786528637639975,0.6521648121634495,0.23000383377075195,0.6322350845948352,0.5615094339622642,0.5895195607412491,0.6795514494295595,0.24328304827213287,0.5905567300916138,0.05993877868668174,0.08913330302274836,0.027386637266110014,,,,,,,,,,,,,,,,
anchor_shallow_depth3_conservative,2.0,fold,0.05,3,10,0.9,0.9,0.0,0.0,1.0,2648.0,2185.0,4370.0,463.0,1323.0,33.0,34.0,0.6770201521738559,0.6114416475972541,0.6555689123503894,0.6590899787633246,0.23333562910556793,0.6496079240610813,0.6016628873771731,0.6259490885507146,0.6642753456134433,0.23582573235034943,0.6628278950735764,0.009778760220080951,0.02961982379967476,0.005185366850118611,,,,,,,,,,,,,,,,
