candidate_id,fold,row_type,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,bootstrap,criterion,train_accuracy,train_roc_auc,train_log_loss,train_brier,val_accuracy,val_roc_auc,val_log_loss,val_brier,val_f1,train_val_acc_gap,train_val_auc_gap,val_accuracy_mean,val_accuracy_std,val_roc_auc_mean,val_roc_auc_std,val_log_loss_mean,val_log_loss_std,val_brier_mean,val_brier_std,val_f1_mean,val_f1_std,train_accuracy_mean,train_roc_auc_mean,train_val_acc_gap_mean,train_val_auc_gap_mean
anchor_shallow_depth4,1.0,fold,300,4.0,20,20,sqrt,True,gini,0.6160241874527589,0.6595693779904307,0.6589979659307628,0.23329983978079943,0.5849056603773585,0.6107183710821322,0.673238548461478,0.24016314862537816,0.6153846153846154,0.031118527075400415,0.04885100690829847,,,,,,,,,,,,,,
anchor_shallow_depth4,2.0,fold,300,4.0,20,20,sqrt,True,gini,0.600453172205438,0.6469451071248338,0.6608360088095573,0.23421455512992911,0.5910808767951625,0.6225360757881083,0.6658640208691479,0.23660663052324357,0.6461739699149771,0.00937229541027551,0.02440903133672545,,,,,,,,,,,,,,
anchor_shallow_depth4,3.0,fold,300,4.0,20,20,sqrt,True,gini,0.6101737597582473,0.647285821124031,0.6600669660658967,0.23384424165967876,0.5873015873015873,0.6330175195942831,0.6647337897538681,0.2360611380931079,0.6393659180977543,0.022872172456659956,0.014268301529747895,,,,,,,,,,,,,,
anchor_shallow_depth4,4.0,fold,300,4.0,20,20,sqrt,True,gini,0.6080468454854552,0.6441885350567684,0.6606025180502051,0.23411193364897961,0.6060377358490566,0.629755563242246,0.6649133292063314,0.23614754359586024,0.6579292267365662,0.002009109636398554,0.01443297181452241,,,,,,,,,,,,,,
anchor_shallow_depth6,1.0,fold,300,6.0,10,10,sqrt,True,gini,0.656084656084656,0.7285045546558705,0.6315962536449196,0.22017077662872667,0.5864150943396227,0.6022054449782659,0.6765091669004345,0.2417530595722369,0.6220689655172413,0.06966956174503336,0.1262991096776046,,,,,,,,,,,,,,
anchor_shallow_depth6,2.0,fold,300,6.0,10,10,sqrt,True,gini,0.6431268882175226,0.7032277951094188,0.6380140562519759,0.22334062599414486,0.5986394557823129,0.6311572047344405,0.661504680728938,0.23451927717820753,0.6580811332904056,0.044487432435209695,0.07207059037497832,,,,,,,,,,,,,,
anchor_shallow_depth6,3.0,fold,300,6.0,10,10,sqrt,True,gini,0.6388818937295392,0.6913765631493688,0.6409656428574594,0.22479724514605026,0.5993953136810279,0.6369536652835407,0.6621885406723537,0.23487736442557386,0.6558441558441559,0.039486580048511244,0.0544228978658281,,,,,,,,,,,,,,
anchor_shallow_depth6,4.0,fold,300,6.0,10,10,sqrt,True,gini,0.6261805817907065,0.6810928683330906,0.6435682445004126,0.22612472637520717,0.6030188679245283,0.635867635189669,0.6610392840390921,0.23434733298857263,0.6525759577278731,0.023161713866178157,0.04522523314342153,,,,,,,,,,,,,,
anchor_moderate_depth8,1.0,fold,500,8.0,10,10,sqrt,True,gini,0.6961451247165533,0.7974132775119618,0.6013528903561609,0.20576806590735025,0.5826415094339623,0.5959757492564631,0.6791455650487834,0.2430049195373774,0.6204529855868223,0.11350361528259101,0.20143752825549865,,,,,,,,,,,,,,
anchor_moderate_depth8,2.0,fold,500,8.0,10,10,sqrt,True,gini,0.6782477341389728,0.7658247121163462,0.6098306440048136,0.20994336321426635,0.6061980347694633,0.6390278646376207,0.6588375080782688,0.2332382198140492,0.6601435094585779,0.07204969936950945,0.12679684747872544,,,,,,,,,,,,,,
