candidate_id,fold,row_type,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,n_train_unique,n_train_augmented,n_inner_fit_unique,n_inner_early_stop,n_val,best_iteration,effective_n_estimators,best_score_inner_early_stop,train_accuracy,train_roc_auc,train_log_loss,train_brier,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_log_loss,val_brier,train_val_auc_gap,train_val_log_loss_gap,fit_seconds,val_log_loss_mean,val_log_loss_std,val_roc_auc_mean,val_roc_auc_std,val_brier_mean,val_brier_std,val_accuracy_mean,val_accuracy_std,val_precision_mean,val_recall_mean,val_f1_mean,train_roc_auc_mean,train_log_loss_mean,train_accuracy_mean,train_val_auc_gap_mean,train_val_log_loss_gap_mean,best_iterations,median_effective_n_estimators,mean_fit_seconds
anchor_series_xgb_v2_structure,1.0,fold,0.02,4,20,0.6,0.85,2.0,0.01,1.0,1221.0,2442.0,1038.0,183.0,1544.0,31.0,32.0,0.6900693148863121,0.647010647010647,0.7053097941898416,0.6659517051748726,0.23647044599056244,0.5880829015544041,0.6020524515393386,0.6478527607361964,0.624113475177305,0.6103192035480152,0.679616443307773,0.24326609075069427,0.09499059064182647,0.013664738132900478,0.062215700003434904,,,,,,,,,,,,,,,,,,,
anchor_series_xgb_v2_structure,2.0,fold,0.02,4,20,0.6,0.85,2.0,0.01,1.0,2765.0,5530.0,2350.0,415.0,1780.0,113.0,114.0,0.6689529474959316,0.6506329113924051,0.7091106558453497,0.6404336833029248,0.22433029115200043,0.5719101123595506,0.585544373284538,0.6743940990516333,0.6268364348677767,0.5910591806689922,0.6780313695131409,0.24259093403816223,0.1180514751763575,0.037597686210216086,0.2127768999998807,,,,,,,,,,,,,,,,,,,
anchor_series_xgb_v2_structure,3.0,fold,0.02,4,20,0.6,0.85,2.0,0.01,1.0,4545.0,9090.0,3863.0,682.0,1609.0,100.0,101.0,0.680021993094875,0.6259625962596259,0.6779772823877448,0.6529591229182197,0.23037555813789368,0.5860783095090119,0.5898203592814372,0.6985815602836879,0.6396103896103896,0.6253907835500652,0.666827590553025,0.2371738851070404,0.05258649883767963,0.013868467634805315,0.24630120000074385,,,,,,,,,,,,,,,,,,,
anchor_series_xgb_v2_structure,4.0,fold,0.02,4,20,0.6,0.85,2.0,0.01,1.0,6154.0,12308.0,5230.0,924.0,1608.0,146.0,147.0,0.6601479049949419,0.6251218719532011,0.6786582893236583,0.6473532441462013,0.22791816294193268,0.5901741293532339,0.6050761421319797,0.6882217090069284,0.6439762290653701,0.6349335171778415,0.659085405981962,0.2337360978126526,0.043724772145816826,0.011732161835760646,0.3794302999958745,,,,,,,,,,,,,,,,,,,
anchor_shallow_conservative_depth2,1.0,fold,0.03,2,20,0.9,0.85,0.0,0.0,2.0,1221.0,2442.0,1038.0,183.0,1544.0,30.0,31.0,0.6881783487366848,0.601965601965602,0.6388328433091468,0.6749526519312431,0.24094384908676147,0.5796632124352331,0.5954022988505747,0.6355828220858896,0.6148367952522256,0.6086941520024911,0.6792826201389355,0.24310429394245148,0.030138691306655696,0.004329968207692381,0.03462500000023283,,,,,,,,,,,,,,,,,,,
anchor_shallow_conservative_depth2,2.0,fold,0.03,2,20,0.9,0.85,0.0,0.0,2.0,2765.0,5530.0,2350.0,415.0,1780.0,346.0,347.0,0.6665031655366163,0.6419529837251357,0.7019265621306437,0.6369273506348325,0.22291451692581177,0.5764044943820225,0.5927687916270219,0.6564805057955743,0.623,0.5921192616459913,0.679564351896057,0.24327388405799866,0.10980730048465248,0.042637001261224494,0.2642797999942559,,,,,,,,,,,,,,,,,,,
anchor_shallow_conservative_depth2,3.0,fold,0.03,2,20,0.9,0.85,0.0,0.0,2.0,4545.0,9090.0,3863.0,682.0,1609.0,69.0,70.0,0.6813931079291878,0.598019801980198,0.6286169541303812,0.6695071689120565,0.2383531779050827,0.5860783095090119,0.5909090909090909,0.6914893617021277,0.6372549019607843,0.6256556952926268,0.6692302314461707,0.23825359344482422,0.0029612588377544435,-0.00027693746588586254,0.12156189999950584,,,,,,,,,,,,,,,,,,,
anchor_shallow_conservative_depth2,4.0,fold,0.03,2,20,0.9,0.85,0.0,0.0,2.0,6154.0,12308.0,5230.0,924.0,1608.0,172.0,173.0,0.661903321936533,0.601884952876178,0.6380698928236533,0.6610706147298275,0.23450109362602234,0.5864427860696517,0.6032887975334018,0.6778290993071594,0.6383904295812942,0.6356229340836513,0.6592381613578423,0.23375128209590912,0.002446958740002003,-0.001832453371985232,0.24754569999640808,,,,,,,,,,,,,,,,,,,
anchor_shallow_conservative_depth3,1.0,fold,0.03,3,20,0.9,0.85,0.0,0.0,2.0,1221.0,2442.0,1038.0,183.0,1544.0,11.0,12.0,0.69010188605616,0.6298116298116299,0.6746864294769779,0.6788208645845357,0.2428477704524994,0.5841968911917098,0.5981838819523269,0.6466257668711657,0.6214622641509434,0.6096922416622486,0.6846920970815951,0.24577884376049042,0.06499418781472932,0.005871232497059342,0.03351280000060797,,,,,,,,,,,,,,,,,,,
anchor_shallow_conservative_depth3,2.0,fold,0.03,3,20,0.9,0.85,0.0,0.0,2.0,2765.0,5530.0,2350.0,415.0,1780.0,159.0,160.0,0.6687912278146629,0.6426763110307414,0.7076668505239934,0.6361343276163824,0.22246414422988892,0.5769662921348314,0.5933333333333334,0.6564805057955743,0.6233116558279139,0.590056161467071,0.6789736967237036,0.2430490106344223,0.1176106890569224,0.04283936910732111,0.20932310000353027,,,,,,,,,,,,,,,,,,,
anchor_shallow_conservative_depth3,3.0,fold,0.03,3,20,0.9,0.85,0.0,0.0,2.0,4545.0,9090.0,3863.0,682.0,1609.0,40.0,41.0,0.6822108823008551,0.605060506050605,0.6392030285482949,0.6690271630564683,0.23808975517749786,0.581727781230578,0.5872855701311807,0.6879432624113475,0.6336418072945019,0.6197966531267332,0.6723883683725658,0.2397649884223938,0.01940637542156176,0.0033612053160975153,0.10935980000067502,,,,,,,,,,,,,,,,,,,
anchor_shallow_conservative_depth3,4.0,fold,0.03,3,20,0.9,0.85,0.0,0.0,2.0,6154.0,12308.0,5230.0,924.0,1608.0,127.0,128.0,0.6610682720068471,0.6114722131946702,0.6569302582484018,0.6541571608363939,0.23122790455818176,0.5926616915422885,0.6073245167853509,0.6893764434180139,0.6457544618712818,0.6342090847406984,0.6591081374108656,0.2337857484817505,0.022721173507703418,0.004950976574471744,0.30052109999815,,,,,,,,,,,,,,,,,,,
anchor_strong_min_child_weight,1.0,fold,0.03,4,80,0.9,0.85,0.0,0.0,1.0,1221.0,2442.0,1038.0,183.0,1544.0,13.0,14.0,0.6877950091179603,0.5995085995085995,0.6283413805195155,0.6825211949685451,0.24469543993473053,0.5718911917098446,0.5901639344262295,0.6184049079754601,0.6039544637507489,0.6022259250843663,0.6848016927443287,0.24583488702774048,0.02611545543514915,0.002280497775783541,0.03543050000007497,,,,,,,,,,,,,,,,,,,
anchor_strong_min_child_weight,2.0,fold,0.03,4,80,0.9,0.85,0.0,0.0,1.0,2765.0,5530.0,2350.0,415.0,1780.0,72.0,73.0,0.6744536623897323,0.6300180831826402,0.6815388858246001,0.6503956609875459,0.22909267246723175,0.5696629213483146,0.5840220385674931,0.6701791359325606,0.6241413150147204,0.5933359454945925,0.6784016749671137,0.24270674586296082,0.08820294033000764,0.028006013979567812,0.15625980000186246,,,,,,,,,,,,,,,,,,,
anchor_strong_min_child_weight,3.0,fold,0.03,4,80,0.9,0.85,0.0,0.0,1.0,4545.0,9090.0,3863.0,682.0,1609.0,64.0,65.0,0.6816259614271153,0.6165016501650165,0.6617002353195559,0.6579134678200054,0.2327623814344406,0.5860783095090119,0.5905432595573441,0.693853427895981,0.6380434782608696,0.62357435654332,0.6676467626327444,0.23756623268127441,0.038125878776235855,0.00973329481273899,0.18148959999962244,,,,,,,,,,,,,,,,,,,
anchor_strong_min_child_weight,4.0,fold,0.03,4,80,0.9,0.85,0.0,0.0,1.0,6154.0,12308.0,5230.0,924.0,1608.0,164.0,165.0,0.6622347199555599,0.6262593435164121,0.6791427800544602,0.6453878715341277,0.2270096242427826,0.5889303482587065,0.6059979317476732,0.6766743648960739,0.6393889798145117,0.6361466108078161,0.6591574802107024,0.2337237298488617,0.04299616924664407,0.01376960867657473,0.4513423000025796,,,,,,,,,,,,,,,,,,,
anchor_strong_gamma,1.0,fold,0.03,4,20,0.9,0.85,5.0,0.0,1.0,1221.0,2442.0,1038.0,183.0,1544.0,12.0,13.0,0.6912875120105639,0.6502866502866503,0.7100207698324926,0.6733286196262025,0.24011404812335968,0.5887305699481865,0.6020408163265306,0.6515337423312884,0.6258102533883324,0.6071625135701482,0.6838846172379018,0.24537824094295502,0.10285825626234446,0.010555997611699341,0.04367590000038035,,,,,,,,,,,,,,,,,,,
anchor_strong_gamma,2.0,fold,0.03,4,20,0.9,0.85,5.0,0.0,1.0,2765.0,5530.0,2350.0,415.0,1780.0,181.0,182.0,0.6722277829445988,0.6690777576853526,0.7488724292805926,0.617151230667666,0.21346859633922577,0.5730337078651685,0.5895734597156398,0.6554267650158061,0.6207584830339321,0.5913165926765649,0.6787150138101284,0.2429567277431488,0.15755583660402772,0.06156378314246247,0.30151350000232924,,,,,,,,,,,,,,,,,,,
anchor_strong_gamma,3.0,fold,0.03,4,20,0.9,0.85,5.0,0.0,1.0,4545.0,9090.0,3863.0,682.0,1609.0,143.0,144.0,0.6807195600832313,0.6453245324532453,0.7087445073631182,0.6363151472011526,0.22258521616458893,0.5705407085146054,0.5798146240988672,0.66548463356974,0.6197028068244359,0.6187889040709653,0.6653141598424971,0.23667272925376892,0.08995560329215291,0.028999012641344524,0.3060382999974536,,,,,,,,,,,,,,,,,,,
anchor_strong_gamma,4.0,fold,0.03,4,20,0.9,0.85,5.0,0.0,1.0,6154.0,12308.0,5230.0,924.0,1608.0,105.0,106.0,0.6605424114152209,0.6306467338316543,0.6814394463447718,0.6453504579251529,0.22702378034591675,0.5907960199004975,0.6050505050505051,0.6916859122401847,0.6454741379310345,0.6323688240383956,0.6598359553614688,0.23415067791938782,0.049070622306376266,0.014485497436315886,0.2846863999948255,,,,,,,,,,,,,,,,,,,
anchor_strong_l1_l2,1.0,fold,0.03,4,20,0.9,0.85,0.0,1.0,20.0,1221.0,2442.0,1038.0,183.0,1544.0,14.0,15.0,0.6885522828727472,0.6388206388206388,0.6888341919995684,0.676676996533324,0.2417796552181244,0.5764248704663213,0.592,0.6355828220858896,0.6130177514792899,0.5992771003223173,0.6858776303439845,0.2463703602552414,0.08955709167725112,0.009200633810660497,0.04141169999638805,,,,,,,,,,,,,,,,,,,
anchor_strong_l1_l2,2.0,fold,0.03,4,20,0.9,0.85,0.0,1.0,20.0,2765.0,5530.0,2350.0,415.0,1780.0,206.0,207.0,0.6690016593559679,0.6867992766726944,0.7627195125154309,0.6099972667089818,0.20999756455421448,0.5634831460674158,0.5812854442344045,0.6480505795574288,0.6128550074738416,0.5900973727490715,0.6799105002938429,0.24349232017993927,0.17262213976635943,0.06991323358486112,0.3378999000051408,,,,,,,,,,,,,,,,,,,
anchor_strong_l1_l2,3.0,fold,0.03,4,20,0.9,0.85,0.0,1.0,20.0,4545.0,9090.0,3863.0,682.0,1609.0,64.0,65.0,0.6816791410932094,0.6257425742574257,0.6740586926095038,0.655611164316467,0.23158495128154755,0.5866998135487881,0.5905905905905906,0.6973995271867612,0.6395663956639567,0.6227889164644972,0.6693350307351204,0.23832711577415466,0.05126977614500661,0.013723866418653308,0.1538326000008965,,,,,,,,,,,,,,,,,,,
anchor_strong_l1_l2,4.0,fold,0.03,4,20,0.9,0.85,0.0,1.0,20.0,6154.0,12308.0,5230.0,924.0,1608.0,162.0,163.0,0.6619339963800205,0.6379590510237244,0.6951637859611124,0.6397502552461426,0.22428905963897705,0.5883084577114428,0.6053719008264463,0.6766743648960739,0.6390403489640131,0.6339227355066825,0.6598649727385796,0.23404832184314728,0.061241050454429846,0.020114717492436984,0.3542273999992176,,,,,,,,,,,,,,,,,,,
anchor_high_subsampling,1.0,fold,0.03,4,10,0.6,0.5,0.0,0.0,1.0,1221.0,2442.0,1038.0,183.0,1544.0,61.0,62.0,0.685056530549878,0.6838656838656839,0.7649259568958541,0.6281685550660371,0.21815495193004608,0.5926165803108808,0.6071428571428571,0.6466257668711657,0.6262626262626263,0.6174177585902194,0.6720116458024662,0.23958967626094818,0.14750819830563466,0.04384309073642911,0.08289989999320824,,,,,,,,,,,,,,,,,,,
anchor_high_subsampling,2.0,fold,0.03,4,10,0.6,0.5,0.0,0.0,1.0,2765.0,5530.0,2350.0,415.0,1780.0,91.0,92.0,0.6698508638215352,0.6672694394213382,0.7325280382423239,0.6299153376224794,0.21934401988983154,0.5741573033707865,0.5864253393665159,0.6828240252897787,0.6309639727361246,0.5891812142492129,0.6785636654518037,0.24284927546977997,0.14334682399311105,0.04864832782932427,0.14523929999995744,,,,,,,,,,,,,,,,,,,
anchor_high_subsampling,3.0,fold,0.03,4,10,0.6,0.5,0.0,0.0,1.0,4545.0,9090.0,3863.0,682.0,1609.0,89.0,90.0,0.6776247865949209,0.6371837183718372,0.6915524907278029,0.645884055094951,0.22704720497131348,0.5829707893101305,0.5865479723046488,0.7009456264775413,0.6386645126548196,0.6253110001890014,0.6656031037440053,0.23664098978042603,0.06624149053880146,0.019719048649054383,0.1648840000052587,,,,,,,,,,,,,,,,,,,
anchor_high_subsampling,4.0,fold,0.03,4,10,0.6,0.5,0.0,0.0,1.0,6154.0,12308.0,5230.0,924.0,1608.0,131.0,132.0,0.6610052180980449,0.6379590510237244,0.6942814191443808,0.6403980080972024,0.22466132044792175,0.582089552238806,0.5989795918367347,0.6778290993071594,0.6359696641386782,0.6310109995455762,0.659960035372661,0.2341899573802948,0.06327041959880464,0.019562027275458638,0.2702179000043543,,,,,,,,,,,,,,,,,,,
anchor_low_lr_0p015,1.0,fold,0.015,3,20,0.9,0.85,0.0,0.0,1.0,1221.0,2442.0,1038.0,183.0,1544.0,23.0,24.0,0.6897512205311509,0.6240786240786241,0.6716329943624739,0.6790754012938228,0.24297545850276947,0.5777202072538861,0.5933562428407789,0.6355828220858896,0.6137440758293838,0.6112053657838706,0.6848959523176834,0.24588072299957275,0.06042762857860329,0.005820551023860587,0.03678570000192849,,,,,,,,,,,,,,,,,,,
anchor_low_lr_0p015,2.0,fold,0.015,3,20,0.9,0.85,0.0,0.0,1.0,2765.0,5530.0,2350.0,415.0,1780.0,181.0,182.0,0.6716778515333153,0.6253164556962025,0.6803882016126914,0.649777936903903,0.22887597978115082,0.5775280898876405,0.5930122757318225,0.6617492096944152,0.6254980079681275,0.5941912381010349,0.6772223927539037,0.24217624962329865,0.08619696351165651,0.02744445585000077,0.20283489999565063,,,,,,,,,,,,,,,,,,,
anchor_low_lr_0p015,3.0,fold,0.015,3,20,0.9,0.85,0.0,0.0,1.0,4545.0,9090.0,3863.0,682.0,1609.0,102.0,103.0,0.6811602030856169,0.607040704070407,0.6435393873447002,0.6658087633605675,0.23655053973197937,0.5879428216283406,0.5915915915915916,0.6985815602836879,0.640650406504065,0.6250437646592244,0.6692298143635658,0.23826514184474945,0.018495622685475777,0.0034210510029982766,0.18166329999803565,,,,,,,,,,,,,,,,,,,
