model,feature_set,fold,n_fold_train,n_fold_val,train_accuracy,train_roc_auc,train_log_loss,train_brier,train_f1,val_accuracy,val_roc_auc,val_log_loss,val_brier,val_f1,train_val_auc_gap,row_type,val_log_loss_mean,val_log_loss_std,val_roc_auc_mean,val_roc_auc_std,val_brier_mean,val_brier_std,val_accuracy_mean,val_accuracy_std,val_f1_mean,val_f1_std,train_roc_auc_mean,train_val_auc_gap_mean,delta_log_loss,delta_roc_auc,delta_brier,delta_accuracy,delta_f1
rf,v2,1,1323.0,1325.0,0.6938775510204082,0.7788772083179978,0.6094849866670232,0.20961065172872997,0.7096774193548387,0.569811320754717,0.604561885152139,0.6747272576138358,0.24093131935537182,0.6138211382113821,0.17431532316585874,fold,,,,,,,,,,,,,,,,,
xgb,v2,1,1323.0,1325.0,0.654572940287226,0.710455005520795,0.641182449634332,0.22461842000484467,0.6738044254104212,0.5690566037735849,0.604910775566232,0.6743716055879129,0.24076063930988312,0.6070199587061252,0.10554422995456303,fold,,,,,,,,,,,,,,,,,
rf,v3,1,1323.0,1325.0,0.7188208616780045,0.7989855539197644,0.6033112662916307,0.20663377681036785,0.7335243553008596,0.6075471698113207,0.6213829787234042,0.668007061229512,0.23774477420988618,0.6472184531886025,0.17760257519636025,fold,,,,,,,,,,,,,,,,,
xgb,v3,1,1323.0,1325.0,0.6477702191987906,0.7137456293706295,0.638803894955892,0.22351081669330597,0.6647482014388489,0.5901886792452831,0.6111290322580645,0.6725050066951676,0.23981671035289764,0.6343434343434343,0.10261659711256499,fold,,,,,,,,,,,,,,,,,
rf,v2,2,2648.0,1323.0,0.6850453172205438,0.7671795430563838,0.6087336033699523,0.20943333933181424,0.7065446868402533,0.6069538926681783,0.6440425729043615,0.6564706006984216,0.2320530340228625,0.6662387676508345,0.1231369701520223,fold,,,,,,,,,,,,,,,,,
xgb,v2,2,2648.0,1323.0,0.6374622356495468,0.6923687892829288,0.6446039030418087,0.22637464106082916,0.6696490020646937,0.6137566137566137,0.642867069696338,0.6586515182542048,0.23309792578220367,0.6751430387794024,0.049501719586590776,fold,,,,,,,,,,,,,,,,,
rf,v3,2,2648.0,1323.0,0.6895770392749244,0.7762163371106117,0.6043413317621997,0.20739219160531885,0.7123862841147656,0.6046863189720333,0.6447930419475135,0.6552292476668425,0.23152732715928784,0.6640976236351959,0.13142329516309814,fold,,,,,,,,,,,,,,,,,
xgb,v3,2,2648.0,1323.0,0.6382175226586103,0.6978348511263018,0.6407779625724426,0.22461244463920593,0.6689702833448514,0.6145124716553289,0.6520637898686679,0.6542688125588185,0.23101681470870972,0.6763959390862944,0.04577106125763397,fold,,,,,,,,,,,,,,,,,
rf,v2,3,3971.0,1323.0,0.6799294887937547,0.7531457238858271,0.6110679407724027,0.2107479465097917,0.7223071881144855,0.600151171579743,0.6387263715998156,0.6585639361815511,0.2332736857457772,0.6544741998693664,0.11441935228601152,fold,,,,,,,,,,,,,,,,,
xgb,v2,3,3971.0,1323.0,0.6356081591538655,0.684002035551089,0.6449882771956813,0.22662301361560822,0.684543274471332,0.5986394557823129,0.6367623328722913,0.6606440553918005,0.23413729667663574,0.6549707602339181,0.047239702678797624,fold,,,,,,,,,,,,,,,,,
rf,v3,3,3971.0,1323.0,0.6862251322085117,0.7607087521029001,0.6063882337976493,0.20862430057220435,0.7208781362007168,0.6024187452758881,0.6455728446288612,0.6547133385104602,0.23148200530246218,0.6502659574468085,0.1151359074740389,fold,,,,,,,,,,,,,,,,,
xgb,v3,3,3971.0,1323.0,0.6346008562075044,0.6890396666644516,0.6417337503671477,0.22513650357723236,0.6810287975379204,0.6039304610733183,0.6401878745965883,0.6582737354682772,0.2330455183982849,0.6619354838709678,0.048851792067863276,fold,,,,,,,,,,,,,,,,,
rf,v2,4,5294.0,1325.0,0.6647147714393653,0.7366215165942087,0.6162174759099015,0.21342014593232309,0.7039199332777314,0.6067924528301887,0.6388377723970945,0.6591342054042939,0.23344142391246497,0.6570111915734036,0.09778374419711422,fold,,,,,,,,,,,,,,,,,
xgb,v2,4,5294.0,1325.0,0.61768039289762,0.6736734795744387,0.6473754207870132,0.22784900665283203,0.6602886874790198,0.6083018867924528,0.6379142165340712,0.6590314888912953,0.23344485461711884,0.6556071665560717,0.03575926304036747,fold,,,,,,,,,,,,,,,,,
rf,v3,4,5294.0,1325.0,0.6703815640347563,0.7461955107508746,0.6111882664834728,0.2111481384370685,0.7072638818990102,0.610566037735849,0.6450651447019486,0.6553907938707587,0.23169739580327028,0.666235446313066,0.101130366048926,fold,,,,,,,,,,,,,,,,,
xgb,v3,4,5294.0,1325.0,0.6256139025311673,0.6792519922386161,0.6443093432805345,0.2264438420534134,0.6768829475057059,0.6060377358490566,0.6438521849417733,0.6562135820707752,0.23209808766841888,0.6619170984455959,0.03539980729684278,fold,,,,,,,,,,,,,,,,,
rf,v2,,,,,,,,,,,,,,,aggregate,0.6622239999745255,0.00728656215715133,0.6315421505133526,0.01572445873635123,0.23492486575911914,0.0035089848059720974,0.5959272094582068,0.01532581771817335,0.6478863243262466,0.020148898155187313,0.7589559979636044,0.1274138474502517,,,,,
rf,v3,,,,,,,,,,,,,,,aggregate,0.6583351103193934,0.0055897058869393765,0.6392035025004319,0.010292489827122466,0.23311287561872662,0.002675433122526678,0.6063045679487729,0.003058697914586958,0.6569543701459182,0.008316961414270171,0.7705265384710377,0.13132303597060582,,,,,
xgb,v2,,,,,,,,,,,,,,,aggregate,0.6631746670313033,0.006507692146031603,0.6306135986672331,0.015015730261833088,0.23536017909646034,0.003140329196458093,0.597438640026241,0.017257377678082064,0.6481852310688794,0.025111907422988102,0.6901248274823129,0.059511228815079725,,,,,
xgb,v3,,,,,,,,,,,,,,,aggregate,0.6603152841982597,0.007178806227321019,0.6368082204162735,0.015436908712534952,0.2339942827820778,0.0034373568592156374,0.6036673369557467,0.008731826635111555,0.6586479889365732,0.015224945060767117,0.6949680348499997,0.058159814433726253,,,,,
rf,,1,,,,,,,,,,,,,,paired_delta,,,,,,,,,,,,,-0.006720196384323751,0.016821093571265155,-0.0031865451454856364,0.037735849056603765,0.03339731497722043
rf,,2,,,,,,,,,,,,,,paired_delta,,,,,,,,,,,,,-0.0012413530315790178,0.0007504690431520133,-0.0005257068635746709,-0.0022675736961450532,-0.0021411440156385853
rf,,3,,,,,,,,,,,,,,paired_delta,,,,,,,,,,,,,-0.0038505976710908607,0.006846473029045619,-0.0017916804433150135,0.0022675736961451642,-0.004208242422557906
rf,,4,,,,,,,,,,,,,,paired_delta,,,,,,,,,,,,,-0.0037434115335351903,0.006227372304854151,-0.0017440281091946896,0.0037735849056603765,0.009224254739662374
xgb,,1,,,,,,,,,,,,,,paired_delta,,,,,,,,,,,,,-0.0018665988927453192,0.006218256691832513,-0.0009439289569854736,0.021132075471698153,0.02732347563730908
xgb,,2,,,,,,,,,,,,,,paired_delta,,,,,,,,,,,,,-0.004382705695386235,0.009196720172329864,-0.0020811110734939575,0.0007558578987151288,0.0012529003068919575
xgb,,3,,,,,,,,,,,,,,paired_delta,,,,,,,,,,,,,-0.002370319923523323,0.0034255417242969877,-0.00109177827835083,0.005291005291005346,0.006964723637049697
xgb,,4,,,,,,,,,,,,,,paired_delta,,,,,,,,,,,,,-0.0028179068205200775,0.00593796840770211,-0.0013467669486999512,-0.0022641509433961593,0.006309931889524223
rf,,mean,,,,,,,,,,,,,,paired_delta_mean,,,,,,,,,,,,,-0.003888889655132205,0.007661351987079235,-0.0018119901403925026,0.010377358490566063,0.009068045819671577
xgb,,mean,,,,,,,,,,,,,,paired_delta_mean,,,,,,,,,,,,,-0.0028593828330437387,0.006194621749040369,-0.001365896314382553,0.006228696929505617,0.01046275786769374
