split,n,accuracy,precision,recall,f1,roc_auc,log_loss,brier_score,confusion_matrix,majority_class_accuracy
train,6619,0.6170116331772171,0.6335557202866321,0.709070796460177,0.6691896124233329,0.657747442454301,0.6535055077525089,0.23076891899108887,"[[1520, 1483], [1052, 2564]]",0.546306088533011
validation,1419,0.6116983791402396,0.6291390728476821,0.7261146496815286,0.6741573033707865,0.6504380236693523,0.6541726691250721,0.23111510276794434,"[[298, 336], [215, 570]]",0.5532064834390416
