feature,gain,weight,fold_val_permutation_mean,fold_val_permutation_std,family
elo_diff,44.76609802246094,184.0,0.02917203589876919,0.009775893037651426,A_original_v1
map_pool_total_matches_diff,26.721263885498047,63.0,0.01101491876611475,0.006108562295186192,B_pool_depth
map_pool_best_elo_diff,23.51360511779785,91.0,0.003494726379215945,0.003686136835187326,B_pool_depth
map_pool_experienced_maps_diff,17.22463607788086,41.0,0.0030805594773843257,0.004521876542422772,B_pool_depth
map_pool_size_diff,15.42056941986084,61.0,0.0017270402604050578,0.0029126597081184573,B_pool_depth
map_pool_second_best_elo_diff,13.946166038513184,12.0,0.0002623523923882404,0.0017142914234388983,B_pool_depth
map_matchup_positive_advantage_balance,13.131121635437012,5.0,-8.902510383032026e-05,0.00011132407778646245,C_same_map_matchup
map_pool_total_matches_min,12.305590629577637,29.0,0.00010727097502254422,0.0005775625423350572,D_coverage_confidence
map_pool_mean_elo_diff,12.219048500061035,13.0,3.5645803572487036e-06,0.0014655702118591722,B_pool_depth
map_matchup_median_smoothed_wr_advantage,12.210902214050293,47.0,-0.00027605476249275006,0.0005949996071929202,C_same_map_matchup
bestOf_BO3,12.099472045898438,3.0,4.217813053872255e-05,0.0001817566397650008,A_original_v1
map_pool_size_min,11.898345947265625,1.0,0.000177289143035006,6.012932689005736e-05,D_coverage_confidence
avg_series_margin_last_10_diff,11.771862030029297,29.0,0.00037080061736797235,0.0009545175570216882,A_original_v1
total_matches_before_diff,11.761298179626465,37.0,0.0020204766558932024,0.0007315186637083818,A_original_v1
history_matches_min,11.571577072143555,44.0,0.0010653551819707592,0.0012807010237620652,A_original_v1
both_teams_have_5_matches,11.549102783203125,1.0,-1.608439986164889e-05,3.216879972329778e-05,A_original_v1
shared_recent_map_count,10.546037673950195,2.0,2.4120958326059875e-05,0.0001133613001654913,D_coverage_confidence
map_pool_mean_normalized_margin_diff,10.52369499206543,79.0,0.00288297168308449,0.0022762717611659144,B_pool_depth
map_pool_mean_smoothed_wr_diff,10.47409439086914,10.0,-0.00012939647484324913,0.0005608629673833826,B_pool_depth
tier_tier2,10.472321510314941,25.0,0.0013391588808886468,0.0013542669554285284,A_original_v1
overall_win_rate_diff,10.399210929870605,18.0,0.0005861704102829407,0.0031751631079702416,A_original_v1
map_matchup_mean_elo_advantage,10.357611656188965,16.0,-2.8163661850308386e-05,0.00036807699607927056,C_same_map_matchup
map_matchup_shared_coverage,9.68327522277832,10.0,-9.574185691302862e-05,0.0002944568009370053,D_coverage_confidence
shared_experienced_map_count,9.634541511535645,3.0,-9.960555037397122e-06,5.0590367702164176e-05,D_coverage_confidence
map_pool_second_best_smoothed_wr_diff,9.604571342468262,21.0,9.505808210145684e-05,0.0013747748236791278,B_pool_depth
history_matches_sum,9.547476768493652,26.0,-0.000258027883753148,0.0011983920906057524,A_original_v1
map_matchup_mean_smoothed_wr_advantage,9.506536483764648,22.0,-0.0008779171138623892,0.001670687451934648,C_same_map_matchup
both_teams_have_10_matches,9.426822662353516,1.0,-2.8825089357809032e-06,5.7650178715618065e-06,A_original_v1
win_rate_last_10_diff,9.166078567504883,19.0,-0.0010375260861861385,0.0016838542273938588,A_original_v1
avg_series_margin_last_5_diff,9.12590503692627,35.0,-0.0005361890735835761,0.0011122392619187333,A_original_v1
map_matchup_midrange_elo_advantage,8.82562255859375,21.0,-0.0002696519406374248,0.0006754769896207268,C_same_map_matchup
win_rate_last_5_diff,8.722545623779297,21.0,0.000164199374603996,0.00017893867248596068,A_original_v1
days_since_last_match_diff,8.505555152893066,96.0,0.0018410175658736983,0.0016230595661267885,A_original_v1
map_pool_best_smoothed_wr_diff,8.438691139221191,27.0,-0.00031169433960620834,0.0015981822556791455,B_pool_depth
map_pool_worst_smoothed_wr_diff,8.228971481323242,20.0,-4.338980245185422e-05,0.0008563891746276891,B_pool_depth
map_pool_worst_elo_diff,8.163025856018066,16.0,9.008045186348072e-05,0.0013426082165230923,B_pool_depth
map_pool_third_best_elo_diff,8.080904006958008,10.0,-0.0005729407581353346,0.0009618630890931364,B_pool_depth
map_matchup_elo_advantage_range,7.94490385055542,19.0,-0.00034294896075235667,0.0004766452728157082,D_coverage_confidence
format_win_rate_diff,7.886302471160889,34.0,0.0006244409363624552,0.0026473364260844187,A_original_v1
map_pool_third_best_smoothed_wr_diff,7.522466659545898,9.0,3.940764798349148e-05,0.0005091135307519575,B_pool_depth
map_matchup_median_elo_advantage,6.899268627166748,17.0,-8.871691659798056e-06,0.0002202511369825831,C_same_map_matchup
matches_last_30_days_diff,6.876229763031006,8.0,-0.0005353300997172294,0.0017453171982431681,A_original_v1
union_map_count,0.0,0.0,0.0002135563851981659,0.0002471931308185929,D_coverage_confidence
both_teams_have_3_recent_maps,0.0,0.0,0.0,0.0,D_coverage_confidence
both_teams_have_map_pool_history,0.0,0.0,0.0,0.0,D_coverage_confidence
both_teams_have_5_experienced_maps,0.0,0.0,-2.4494475713979225e-05,4.898895142795845e-05,D_coverage_confidence
both_teams_have_history,0.0,0.0,0.0,0.0,A_original_v1
bestOf_BO5,0.0,0.0,0.0,0.0,A_original_v1
tier_tier3,0.0,0.0,8.00732097917256e-06,1.601464195834512e-05,A_original_v1
