model,population,n_series,series_macro_log_loss,series_macro_brier,series_macro_accuracy
random_forest,pooled_train_oof,3115,0.6632435947896663,0.23555725762737661,0.5920973782771535
random_forest,validation,522,0.6543483145052607,0.2314497447709064,0.6100574712643678
xgboost,pooled_train_oof,3115,0.6644987847648782,0.23603781207585717,0.5967522739432851
xgboost,validation,522,0.6535036398073969,0.2308160412796731,0.613250319284802
ensemble,pooled_train_oof,3115,0.6632998506563603,0.235531115717491,0.5961637239165329
ensemble,validation,522,0.6536023154019424,0.23100044405964368,0.6079821200510855
baseline_half,validation,522,0.6931471805599452,0.25,0.5438058748403576
baseline_overall_elo,validation,522,0.6622518724131915,0.23429720462273668,0.6095785440613026
baseline_map_elo,validation,522,0.6724748249608288,0.24007815056549292,0.5616858237547894
