split,n,accuracy,precision,recall,f1,roc_auc,log_loss,brier_score,confusion_matrix,majority_class_accuracy
train,6619,0.5935941985194139,0.61751269035533,0.6728429203539823,0.6439915299100053,0.6234435733882637,0.664997086166499,0.23638335767935872,"[[1496, 1507], [1183, 2433]]",0.546306088533011
validation,1419,0.6131078224101479,0.6296703296703297,0.729936305732484,0.6761061946902654,0.6411742249191263,0.6581382433928907,0.23294639911792442,"[[297, 337], [212, 573]]",0.5532064834390416
