split,n,accuracy,precision,recall,f1,roc_auc,log_loss,brier_score,confusion_matrix,majority_class_accuracy
train,6619,0.6460190361081735,0.6591647911977995,0.7289823008849557,0.6923177938279711,0.7115982284676975,0.6290826842483767,0.21931857880349842,"[[1640, 1363], [980, 2636]]",0.546306088533011
validation,1419,0.6067653276955602,0.6259711431742508,0.7184713375796178,0.6690391459074733,0.656559303984408,0.6513645165904433,0.22983907104645215,"[[297, 337], [221, 564]]",0.5532064834390416
