feature,impurity_importance,fold_val_permutation_mean,fold_val_permutation_std,family
elo_diff,0.07946893118559938,0.0032894852104237457,0.002262300336170721,A_original_v1
avg_opponent_elo_last_10_diff,0.04729278989641895,0.0036910597938415476,0.0010403684023872276,E_opponent_strength
map_pool_best_elo_diff,0.046071730216143136,0.0007979183188896732,0.0007178447422689694,B_pool_depth
map_pool_total_matches_diff,0.04107362300604664,0.0038509716153269703,0.004677755695421979,B_pool_depth
performance_residual_all_diff,0.035644510943218174,0.0009059898814757856,0.0026677874670989997,E_opponent_strength
time_weighted_series_margin_diff,0.03222811966081274,0.0013859829550271568,0.0012018836347739083,F_time_decayed
map_pool_second_best_elo_diff,0.029032922542984008,-0.00018077319587526952,0.0007453609391400239,B_pool_depth
total_matches_before_diff,0.02889898615155768,0.002186281942738158,0.003952337575445743,A_original_v1
roster_mean_player_history_mass_diff,0.027962677504408867,-9.990929011582662e-05,0.0029430367500676534,J_confidence_evidence
map_matchup_mean_elo_advantage,0.024972395780200628,-0.00037123596479963215,0.0011526444811275783,C_same_map_matchup
map_pool_mean_elo_diff,0.024807840794153175,0.00011242484376855765,0.0015090757281036732,B_pool_depth
avg_opponent_elo_last_5_diff,0.022164323916866343,0.00244954660759866,0.0017133600164578316,E_opponent_strength
time_weighted_win_rate_diff,0.021332347005211204,0.00017673872614952795,0.0013594762412186185,F_time_decayed
map_pool_third_best_elo_diff,0.020723110909622658,-8.638525874035685e-05,0.0007407353120827743,B_pool_depth
overall_win_rate_diff,0.02037960535469365,-3.248478004157503e-05,0.0014962152538795547,A_original_v1
roster_mean_kast_diff,0.019209491990421563,0.0016260501705672309,0.0013884795748208703,H_player_performance
map_pool_experienced_maps_diff,0.016904692429777636,0.0011115822871710507,0.001748512945131379,B_pool_depth
roster_mean_kd_balance_diff,0.015019562282027544,-0.00016313156649154224,0.000831984086860714,H_player_performance
map_pool_mean_normalized_margin_diff,0.014730288588616742,0.00037792098959401054,0.0009774259732160426,B_pool_depth
