feature,coefficient,abs_coefficient
elo_diff,0.26953511954092646,0.26953511954092646
overall_win_rate_diff,0.05913921970033941,0.05913921970033941
win_rate_last_5_diff,0.002579238435000124,0.002579238435000124
win_rate_last_10_diff,0.006067844362856642,0.006067844362856642
format_win_rate_diff,0.012941013938604405,0.012941013938604405
avg_series_margin_last_5_diff,0.037318113113436746,0.037318113113436746
avg_series_margin_last_10_diff,0.04515157873981272,0.04515157873981272
matches_last_30_days_diff,0.021504898527861804,0.021504898527861804
days_since_last_match_diff,-0.015552857499529248,0.015552857499529248
total_matches_before_diff,0.1563326084617109,0.1563326084617109
history_matches_min,-3.982159820203704e-18,3.982159820203704e-18
history_matches_sum,2.0260521869766544e-18,2.0260521869766544e-18
both_teams_have_history,-1.5146853739875634e-18,1.5146853739875634e-18
both_teams_have_5_matches,2.177716133020785e-18,2.177716133020785e-18
both_teams_have_10_matches,6.6147503784368965e-19,6.6147503784368965e-19
bestOf_BO3,-6.286748999882052e-19,6.286748999882052e-19
bestOf_BO5,2.5688269560559372e-20,2.5688269560559372e-20
tier_tier2,1.226050870169034e-18,1.226050870169034e-18
tier_tier3,1.2990900930233957e-20,1.2990900930233957e-20
