family,mean_auc_decrease_across_folds,std_auc_decrease_across_folds,scope
H_player_performance,0.009541403856661069,0.005007251487415189,full_data
I_roster_stability,0.0007707880019883206,0.0009884576455268985,full_data
J_confidence_evidence,-0.0006909584769585005,0.002705616160075635,full_data
H_player_performance,0.014028473094361943,0.008306523231457277,coverage_rich
I_roster_stability,-0.00017297223666748462,0.0003849794694543213,coverage_rich
J_confidence_evidence,-0.0017981360853626448,0.0034907348255268484,coverage_rich
H1_adr,-1.8144603401582004e-05,0.001120284427520623,full_data
H2_kast,0.007262853623074555,0.0054381219798648244,full_data
H3_kd_balance,0.0002522228911392366,0.001333721595117244,full_data
H4_assists_per_round,-0.00030309484598741717,0.0005452439591410786,full_data
H1_adr,2.8335971236792535e-05,0.001071193730104746,coverage_rich
H2_kast,0.008456916683467427,0.006251647194959381,coverage_rich
H3_kd_balance,0.0005505359093388978,0.003105026188219108,coverage_rich
H4_assists_per_round,-9.322649736825394e-05,0.00017701903833399065,coverage_rich
