split,n,accuracy,precision,recall,f1,roc_auc,log_loss,brier_score,confusion_matrix,majority_class_accuracy
train,6619,0.9862516996525155,0.9806381238069266,0.9944690265486725,0.9875051489770699,0.9994670705400793,0.20650809066333117,0.039381971773958295,"[[2932, 71], [20, 3596]]",0.546306088533011
validation,1419,0.5926708949964764,0.6153846153846154,0.7031847133757961,0.6563614744351962,0.6278476561715124,0.6678873418619304,0.23652581175490078,"[[289, 345], [233, 552]]",0.5532064834390416
