feature,impurity_importance,fold_val_permutation_mean,fold_val_permutation_std,family
elo_diff,0.08720553238100728,0.003786137725111882,0.003141264674474715,A_original_v1
map_pool_best_elo_diff,0.055291212128404155,0.0015191957055528589,0.0011896629855938348,B_pool_depth
avg_opponent_elo_last_10_diff,0.04945886283261274,0.003147168614202439,0.0010824319153786635,E_opponent_strength
performance_residual_all_diff,0.04641408935485919,0.0015922334028646485,0.0035805357654779906,E_opponent_strength
map_pool_total_matches_diff,0.04640236822193322,0.003710570888732295,0.0035331994260496013,B_pool_depth
time_weighted_series_margin_diff,0.037853557019495936,0.0013254145977433685,0.001117309064423825,F_time_decayed
total_matches_before_diff,0.03694970781811509,0.002295478857375227,0.003888804553223242,A_original_v1
map_pool_second_best_elo_diff,0.03289680565661066,0.00036304081402048765,0.0012652200775563466,B_pool_depth
map_pool_mean_elo_diff,0.028825499126785517,-0.00036395108651911533,0.001320231195429351,B_pool_depth
avg_opponent_elo_last_5_diff,0.028207502294582465,0.0024546898049404796,0.0025620027525046717,E_opponent_strength
map_matchup_mean_elo_advantage,0.026452976527835848,-0.0003980015950841992,0.0011211376741662713,C_same_map_matchup
time_weighted_win_rate_diff,0.025974503514250805,0.0001018937447803931,0.0023286878881349665,F_time_decayed
overall_win_rate_diff,0.02320329086045037,0.0006527501091786042,0.002618050295580437,A_original_v1
map_pool_third_best_elo_diff,0.02228752608854121,-0.00039023211167844016,0.0004232674612487423,B_pool_depth
map_pool_experienced_maps_diff,0.021807282367917607,0.001861260037226642,0.00202224176473565,B_pool_depth
map_pool_size_diff,0.019621321513961575,0.0008424727237681423,0.0022322258434835595,B_pool_depth
time_weighted_history_mass_min,0.019455519763830215,0.0003128667312577077,0.0010739329495811224,G_form_confidence
map_pool_mean_normalized_margin_diff,0.019371752152401025,0.0009971955965545232,0.0011498878788240888,B_pool_depth
map_matchup_midrange_elo_advantage,0.019014191164250807,-0.00014103672645123801,0.0006788427323628801,C_same_map_matchup
format_win_rate_diff,0.01811578239671232,0.0015285673584341077,0.003020596900792362,A_original_v1
map_matchup_mean_smoothed_wr_advantage,0.01779302533883171,-0.0002833306064654456,0.00022661710948878775,C_same_map_matchup
map_matchup_median_elo_advantage,0.01748741536456555,1.0902229172637937e-05,0.0004558820537880932,C_same_map_matchup
map_matchup_median_smoothed_wr_advantage,0.01725476676271584,0.00044207357037964745,0.00045505966972953844,C_same_map_matchup
days_since_last_match_diff,0.0158415994068631,0.0008746767768312347,0.0005662840837769347,A_original_v1
time_weighted_performance_residual_diff,0.01546320200697805,0.00025594122834357856,0.00101202355975708,F_time_decayed
map_pool_best_smoothed_wr_diff,0.01523360858544974,-3.942593592297094e-05,0.00036003011785572996,B_pool_depth
avg_series_margin_last_10_diff,0.015131076554627724,-0.00030231918087242067,0.001262165413865228,A_original_v1
