arm,model,row_type,n,accuracy,precision,recall,f1,roc_auc,log_loss,brier,n_series,series_macro_log_loss,series_macro_brier,series_macro_accuracy,n_correct
v2,random_forest,pooled_oof,6541,0.5833970340926464,0.5948951225676017,0.6772151898734177,0.633391631911745,0.6178526911170891,0.6682473412535994,0.2379514883632491,3115,0.6632435947896663,0.23555725762737661,0.5920973782771535,3816
v2,xgboost,pooled_oof,6541,0.5843143250267543,0.5956049507451376,0.6783659378596087,0.6342972427706792,0.6164489381393176,0.6695289996047291,0.2384762167930603,3115,0.6644987847648782,0.23603781207585717,0.5967522739432851,3822
v3,random_forest,pooled_oof,6541,0.5864546705396728,0.5974222896133434,0.6800920598388953,0.6360823355307413,0.6177041545193609,0.66814562249339,0.23788461815236223,3115,0.6635017253604822,0.23565617730738977,0.5965115034777956,3836
v3,xgboost,pooled_oof,6541,0.5879834887631861,0.5979433157762729,0.6858457997698504,0.6388851668229935,0.6183322320193281,0.6687945976559992,0.2381146103143692,3115,0.6637060046735618,0.23564548547649605,0.6009951845906902,3846
