feature,raw_gain,normalized_gain,weight,rank_gain
elo_diff,34.62903594970703,0.20145609256866748,284.0,1
both_teams_have_5_matches,15.191689491271973,0.08837838884319364,8.0,2
total_matches_before_diff,14.200560569763184,0.08261244837494196,191.0,3
both_teams_have_10_matches,14.160346984863281,0.08237850389858176,1.0,4
history_matches_min,11.933545112609863,0.06942397623687357,167.0,5
overall_win_rate_diff,9.85709285736084,0.05734411474851457,77.0,6
avg_series_margin_last_10_diff,9.42689037322998,0.05484139097670046,42.0,7
win_rate_last_5_diff,8.5604887008667,0.049801057316740685,32.0,8
history_matches_sum,7.782819747924805,0.045276930546386096,59.0,9
avg_series_margin_last_5_diff,7.458705902099609,0.043391382562255755,65.0,10
win_rate_last_10_diff,7.030706405639648,0.04090147477783444,31.0,11
days_since_last_match_diff,6.881311893463135,0.0400323649730454,131.0,12
format_win_rate_diff,6.81440544128418,0.03964313344944248,66.0,13
bestOf_BO3,6.519777774810791,0.0379291227407252,3.0,14
matches_last_30_days_diff,5.947828769683838,0.03460178172295172,46.0,15
tier_tier2,5.498507976531982,0.031987836263144796,23.0,16
both_teams_have_history,0.0,0.0,0.0,17
bestOf_BO5,0.0,0.0,0.0,18
tier_tier3,0.0,0.0,0.0,19
