canonical_model_name,display_name,stage,record,count,unconditional_probability,unconditional_mc_standard_error,unconditional_mc_ci95_low,unconditional_mc_ci95_high,conditional_on_participating_probability,conditional_on_participating_denominator,conditional_mc_standard_error,conditional_mc_ci95_low,conditional_mc_ci95_high
GamerLegion,GamerLegion,stage_1,3-0,13348,0.26696,0.0019783445523972815,0.2630824446773013,0.27083755532269865,0.26696,50000,0.0019783445523972815,0.2630824446773013,0.27083755532269865
GamerLegion,GamerLegion,stage_1,3-1,13960,0.2792,0.002006227105788375,0.2752677948726548,0.2831322051273452,0.2792,50000,0.002006227105788375,0.2752677948726548,0.2831322051273452
GamerLegion,GamerLegion,stage_1,3-2,10319,0.20638,0.001809902182992219,0.20283259172133525,0.20992740827866477,0.20638,50000,0.001809902182992219,0.20283259172133525,0.20992740827866477
GamerLegion,GamerLegion,stage_1,2-3,6295,0.1259,0.001483571299264043,0.12299220025344249,0.12880779974655754,0.1259,50000,0.001483571299264043,0.12299220025344249,0.12880779974655754
GamerLegion,GamerLegion,stage_1,1-3,4210,0.0842,0.0012418563524015166,0.08176596154929303,0.08663403845070697,0.0842,50000,0.0012418563524015166,0.08176596154929303,0.08663403845070697
GamerLegion,GamerLegion,stage_1,0-3,1868,0.03736,0.0008481064838804146,0.03569771129159439,0.03902228870840561,0.03736,50000,0.0008481064838804146,0.03569771129159439,0.03902228870840561
GamerLegion,GamerLegion,stage_2,3-0,4613,0.09226,0.0012942031710670469,0.08972336178470858,0.09479663821529141,0.12259813431844155,37627,0.0016907967745101854,0.11928417264040159,0.1259120959964815
GamerLegion,GamerLegion,stage_2,3-1,8495,0.1699,0.0016794879576823407,0.1666082036029426,0.1731917963970574,0.2257687299014006,37627,0.002155348254524866,0.22154424732253186,0.22999321248026933
GamerLegion,GamerLegion,stage_2,3-2,8624,0.17248,0.001689559999526504,0.16916846240092803,0.17579153759907196,0.22919711909001514,37627,0.002166838009309797,0.22495011659176795,0.23344412158826233
GamerLegion,GamerLegion,stage_2,2-3,6557,0.13114,0.001509584713754084,0.128181213961042,0.134098786038958,0.17426316209105164,37627,0.001955572080896395,0.1704302408124947,0.17809608336960858
GamerLegion,GamerLegion,stage_2,1-3,5862,0.11724,0.0014387131917098697,0.11442012214424865,0.12005987785575134,0.155792383129136,37627,0.0018695967600765595,0.15212797347938592,0.15945679277888605
GamerLegion,GamerLegion,stage_2,0-3,3476,0.06952,0.0011374266534594658,0.06729064375921945,0.07174935624078055,0.09238047146995508,37627,0.0014927676207137182,0.0894546469333562,0.09530629600655396
GamerLegion,GamerLegion,stage_3,3-0,1327,0.02654,0.000718827217069582,0.02513109865454362,0.02794890134545638,0.06106202834529726,21732,0.0016242550153385826,0.05787848851523364,0.06424556817536088
GamerLegion,GamerLegion,stage_3,3-1,3122,0.06244,0.0010820466385512225,0.060319188588439605,0.06456081141156039,0.1436591201914228,21732,0.0023792500734249357,0.13899579004750992,0.14832245033533567
GamerLegion,GamerLegion,stage_3,3-2,4147,0.08294,0.0012333771231865783,0.0805225808385543,0.0853574191614457,0.19082459046567274,21732,0.002665561207970369,0.18560009049805082,0.19604909043329466
GamerLegion,GamerLegion,stage_3,2-3,4735,0.0947,0.0013094419422028608,0.0921334937932824,0.09726650620671762,0.21788146512055953,21732,0.0028002485713522133,0.2123929779207092,0.22336995232040988
GamerLegion,GamerLegion,stage_3,1-3,5040,0.1008,0.0013463978609608677,0.0981610601925167,0.1034389398074833,0.23191606847045831,21732,0.0028629905313516564,0.22630460702900906,0.23752752991190756
GamerLegion,GamerLegion,stage_3,0-3,3361,0.06722,0.0011198345556375727,0.06502512427095036,0.06941487572904964,0.15465672740658937,21732,0.0024527377213941965,0.14984936147265673,0.159464093340522
B8 Esports,B8,stage_1,3-0,9611,0.19222,0.0017622228667225947,0.18876604318122372,0.19567395681877628,0.19222,50000,0.0017622228667225947,0.18876604318122372,0.19567395681877628
B8 Esports,B8,stage_1,3-1,12654,0.25308,0.001944379148211583,0.2492690168695053,0.25689098313049474,0.25308,50000,0.001944379148211583,0.2492690168695053,0.25689098313049474
B8 Esports,B8,stage_1,3-2,10785,0.2157,0.0018394211589519132,0.21209473452845426,0.21930526547154575,0.2157,50000,0.0018394211589519132,0.21209473452845426,0.21930526547154575
B8 Esports,B8,stage_1,2-3,8111,0.16222,0.0016486641355958466,0.15898861829423214,0.16545138170576787,0.16222,50000,0.0016486641355958466,0.15898861829423214,0.16545138170576787
B8 Esports,B8,stage_1,1-3,5873,0.11746,0.001439882970244457,0.11463782937832086,0.12028217062167913,0.11746,50000,0.001439882970244457,0.11463782937832086,0.12028217062167913
B8 Esports,B8,stage_1,0-3,2966,0.05932,0.0010564197802010334,0.057249417230805975,0.06139058276919402,0.05932,50000,0.0010564197802010334,0.057249417230805975,0.06139058276919402
B8 Esports,B8,stage_2,3-0,2981,0.05962,0.0010589188410827337,0.05754451907147784,0.06169548092852216,0.09019667170953101,33050,0.0015757353744871342,0.08710823037553622,0.0932851130435258
B8 Esports,B8,stage_2,3-1,5816,0.11632,0.0014338037355231016,0.11350974467837473,0.11913025532162529,0.17597579425113463,33050,0.002094646400416577,0.17187028730631815,0.18008130119595112
B8 Esports,B8,stage_2,3-2,6759,0.13518,0.0015290936374205474,0.13218297647065572,0.13817702352934427,0.20450832072617248,33050,0.002218643787672759,0.20015977890233386,0.2088568625500111
B8 Esports,B8,stage_2,2-3,6775,0.1355,0.0015306191557667114,0.13249998645469727,0.13850001354530275,0.20499243570347958,33050,0.0022205922327342563,0.20064007492732044,0.20934479647963872
B8 Esports,B8,stage_2,1-3,6553,0.13106,0.0015091936681552835,0.12810198041041565,0.13401801958958437,0.1982753403933434,33050,0.0021931141708933645,0.1939768366183924,0.2025738441682944
B8 Esports,B8,stage_2,0-3,4166,0.08332,0.0012359431831601322,0.08089755136100614,0.08574244863899387,0.12605143721633888,33050,0.0018257071031206793,0.12247305129422235,0.12962982313845542
B8 Esports,B8,stage_3,3-0,786,0.01572,0.0005562891622169176,0.014629673242054842,0.01681032675794516,0.05052712779634867,15556,0.0017561217386265792,0.04708512918864058,0.053969126404056766
B8 Esports,B8,stage_3,3-1,1827,0.03654,0.0008391046227974197,0.03489535493931706,0.03818464506068295,0.1174466443815891,15556,0.0025813198701671344,0.11238725743606151,0.12250603132711668
B8 Esports,B8,stage_3,3-2,2431,0.04862,0.0009618325800262747,0.046734808143148496,0.0505051918568515,0.1562741064541013,15556,0.002911355461185165,0.1505678497501784,0.16198036315802422
B8 Esports,B8,stage_3,2-3,3345,0.0669,0.001117357507693934,0.0647099792849199,0.06909002071508011,0.21502957058369762,15556,0.003294024120439239,0.20857328330763672,0.22148585785975852
B8 Esports,B8,stage_3,1-3,4067,0.08134,0.0012224876637414383,0.07894392417906677,0.08373607582093322,0.26144253021342245,15556,0.00352315134107819,0.2545371535849092,0.2683479068419357
B8 Esports,B8,stage_3,0-3,3100,0.062,0.0010784804124322333,0.05988617839163282,0.06411382160836718,0.19928002057084082,15556,0.003202751512684196,0.1930026276059798,0.20555741353570184
Heroic,HEROIC,stage_1,3-0,7436,0.14872,0.001591240783791064,0.1456011680637695,0.1518388319362305,0.14872,50000,0.001591240783791064,0.1456011680637695,0.1518388319362305
Heroic,HEROIC,stage_1,3-1,10547,0.21094,0.0018245235893240733,0.20736393376492482,0.21451606623507516,0.21094,50000,0.0018245235893240733,0.20736393376492482,0.21451606623507516
Heroic,HEROIC,stage_1,3-2,10247,0.20494,0.0018052124329286014,0.20140178363145994,0.20847821636854008,0.20494,50000,0.0018052124329286014,0.20140178363145994,0.20847821636854008
Heroic,HEROIC,stage_1,2-3,10324,0.20648,0.001810226558196515,0.20293195594593483,0.21002804405406517,0.20648,50000,0.001810226558196515,0.20293195594593483,0.21002804405406517
Heroic,HEROIC,stage_1,1-3,7769,0.15538,0.0016201052780606573,0.1522045936550011,0.15855540634499887,0.15538,50000,0.0016201052780606573,0.1522045936550011,0.15855540634499887
Heroic,HEROIC,stage_1,0-3,3677,0.07354,0.0011673205934960627,0.0712520516367477,0.07582794836325228,0.07354,50000,0.0011673205934960627,0.0712520516367477,0.07582794836325228
Heroic,HEROIC,stage_2,3-0,1892,0.03784,0.0008533244916208605,0.03616748399642311,0.039512516003576886,0.06702089975203684,28230,0.0014882834264710722,0.06410386423615354,0.06993793526792015
Heroic,HEROIC,stage_2,3-1,3796,0.07592,0.0011845349602270083,0.07359831147795506,0.07824168852204494,0.1344668792065179,28230,0.00203045827530558,0.13048718098691897,0.13844657742611682
Heroic,HEROIC,stage_2,3-2,4992,0.09984,0.0013406862004212618,0.09721225504717433,0.10246774495282567,0.17683315621679066,28230,0.0022707553433232897,0.17238247574387702,0.1812838366897043
Heroic,HEROIC,stage_2,2-3,6056,0.12112,0.001459108944527447,0.11826014646872621,0.1239798535312738,0.21452355650017713,28230,0.0024431415944223276,0.20973499897510936,0.2193121140252449
Heroic,HEROIC,stage_2,1-3,6674,0.13348,0.0015209410876164794,0.1304989554682717,0.13646104453172828,0.23641516117605385,28230,0.002528778971532194,0.23145875439185076,0.24137156796025694
Heroic,HEROIC,stage_2,0-3,4820,0.0964,0.0013199018145301567,0.0938129924435209,0.0989870075564791,0.17074034714842365,28230,0.002239535281832149,0.16635085799603264,0.17512983630081466
Heroic,HEROIC,stage_3,3-0,376,0.00752,0.0003863534547535456,0.00676274722868305,0.008277252771316948,0.03520599250936329,10680,0.0017833638889396537,0.03171059928704157,0.038701385731685016
Heroic,HEROIC,stage_3,3-1,847,0.01694,0.0005771141377578615,0.01580885628999459,0.01807114371000541,0.07930711610486892,10680,0.0026147359961548326,0.07418223355240544,0.08443199865733239
Heroic,HEROIC,stage_3,3-2,1407,0.02814,0.0007395693395483618,0.02669044409448521,0.029589555905514788,0.13174157303370787,10680,0.0032726555631833933,0.1253271681298684,0.13815597793754733
Heroic,HEROIC,stage_3,2-3,2300,0.046,0.0009368457717255279,0.04416378228741796,0.047836217712582035,0.2153558052434457,10680,0.003977672733361295,0.20755956668605755,0.22315204380083384
