canonical_model_name,display_name,playoff_seed,count,unconditional_probability,unconditional_mc_standard_error,conditional_on_reaching_playoffs_probability,conditional_on_reaching_playoffs_denominator,conditional_mc_standard_error,conditional_mc_ci95_low,conditional_mc_ci95_high
GamerLegion,GamerLegion,1,731,0.01462,0.0005367728681667881,0.08503955328059562,8596,0.0030085930070530404,0.07914271098677166,0.09093639557441958
GamerLegion,GamerLegion,2,596,0.01192,0.000485343457769856,0.0693345742205677,8596,0.002739829346612637,0.06396450870120693,0.07470463973992847
GamerLegion,GamerLegion,3,1058,0.02116,0.0006436187442888841,0.12308050255932992,8596,0.003543449846339916,0.11613534086050369,0.13002566425815615
GamerLegion,GamerLegion,4,1008,0.02016,0.0006285471247249485,0.11726384364820847,8596,0.003470158541755101,0.11046233290636846,0.12406535439004847
GamerLegion,GamerLegion,5,1056,0.02112,0.0006430232592993818,0.12284783620288506,8596,0.0035405686681781704,0.11590832161325584,0.12978735079251427
GamerLegion,GamerLegion,6,1315,0.0263,0.0007156578791573527,0.1529781293624942,8596,0.003882520716303111,0.1453683887585401,0.16058786996644828
GamerLegion,GamerLegion,7,1398,0.02796,0.0007372684504303706,0.1626337831549558,8596,0.003980291660145165,0.15483241150107127,0.17043515480884033
GamerLegion,GamerLegion,8,1434,0.02868,0.0007464242439792534,0.16682177757096323,8596,0.0040211208340009495,0.15894038073632136,0.1747031744056051
B8 Esports,B8,1,420,0.0084,0.00040815291252176557,0.08326724821570182,5044,0.0038901911458342742,0.07564247356986664,0.090892022861537
B8 Esports,B8,2,366,0.00732,0.0003812195587846982,0.07256145915939731,5044,0.0036526497883888425,0.06540226557415518,0.07972065274463944
B8 Esports,B8,3,671,0.01342,0.0005145853398611351,0.1330293417922284,5044,0.004781766684791976,0.12365707909003612,0.14240160449442066
B8 Esports,B8,4,571,0.01142,0.00047517541182178185,0.11320380650277558,5044,0.0044612327977972075,0.10445979021909305,0.1219478227864581
B8 Esports,B8,5,585,0.0117,0.00048089728633045955,0.11597938144329897,5044,0.004508520537737494,0.10714268118933348,0.12481608169726446
B8 Esports,B8,6,850,0.017,0.0005781176350882232,0.16851704996034894,5044,0.005270612152768483,0.1581866501409227,0.17884744977977518
B8 Esports,B8,7,792,0.01584,0.0005583743260573501,0.1570182394924663,5044,0.005122672620207242,0.1469778011568601,0.1670586778280725
