stage,round,best_of,team_a,team_b,times_matchup_occurred,fraction_of_simulations,model_probability_team_a,team_a_win_count,team_b_win_count
playoffs,1,3,Aurora Gaming,BetBoom Team,350,0.007,0.44929792419997755,151,199
playoffs,1,3,Aurora Gaming,FURIA Esports,803,0.01606,0.45606199575500284,407,396
playoffs,1,3,Aurora Gaming,FUT Esports,306,0.00612,0.521200566239929,159,147
playoffs,1,3,Aurora Gaming,FlyQuest,99,0.00198,0.6163197029723053,61,38
playoffs,1,3,Aurora Gaming,G2 Esports,431,0.00862,0.4514493908577023,201,230
playoffs,1,3,Aurora Gaming,Gaimin Gladiators,15,0.0003,0.7197844685921397,13,2
playoffs,1,3,Aurora Gaming,GamerLegion,240,0.0048,0.4829875457353584,108,132
playoffs,1,3,Aurora Gaming,Heroic,96,0.00192,0.6093538341262341,58,38
playoffs,1,3,Aurora Gaming,Legacy,422,0.00844,0.48438722371916043,207,215
playoffs,1,3,Aurora Gaming,Lynn Vision Gaming,26,0.00052,0.6567540101879972,18,8
playoffs,1,3,Aurora Gaming,M80,66,0.00132,0.6182148069166077,41,25
playoffs,1,3,Aurora Gaming,MIBR,82,0.00164,0.6216157921643984,54,28
playoffs,1,3,Aurora Gaming,MOUZ,963,0.01926,0.36796863246259426,362,601
playoffs,1,3,Aurora Gaming,Monte,186,0.00372,0.6326820490489359,114,72
playoffs,1,3,Aurora Gaming,NRG Esports,3,6e-05,0.7553057895336038,3,0
playoffs,1,3,Aurora Gaming,Natus Vincere,863,0.01726,0.35510680032689673,305,558
playoffs,1,3,Aurora Gaming,PARIVISION,573,0.01146,0.5602058664251826,317,256
playoffs,1,3,Aurora Gaming,Sharks Esports,19,0.00038,0.6749414865124188,10,9
playoffs,1,3,Aurora Gaming,Sinners Esports,147,0.00294,0.6095624723703804,79,68
playoffs,1,3,Aurora Gaming,THUNDERdOWNUNDER,8,0.00016,0.7139238228516807,5,3
playoffs,1,3,Aurora Gaming,TYLOO,34,0.00068,0.6305852977370199,18,16
playoffs,1,3,Aurora Gaming,Team Falcons,851,0.01702,0.40182333220898514,358,493
playoffs,1,3,Aurora Gaming,Team Liquid,26,0.00052,0.6270282557456074,14,12
playoffs,1,3,Aurora Gaming,Team Spirit,931,0.01862,0.22830598011202363,226,705
playoffs,1,3,Aurora Gaming,Team Vitality,879,0.01758,0.28746979783300136,262,617
playoffs,1,3,Aurora Gaming,The Mongolz,758,0.01516,0.4541323644104841,341,417
playoffs,1,3,Aurora Gaming,paiN Gaming,221,0.00442,0.5955933531813292,125,96
playoffs,1,3,B8 Esports,9z Team,43,0.00086,0.5581504605644028,23,20
