state_type,match_id,deployment_history_status,eligible_for_state,consumed_by_state,eligibility_reason
form,651398,included,True,True,both sides identity-eligible: both histories updated
form,651399,included,True,True,both sides identity-eligible: both histories updated
form,651568,included,True,True,both sides identity-eligible: both histories updated
form,651569,included,True,True,both sides identity-eligible: both histories updated
form,651570,included,True,True,both sides identity-eligible: both histories updated
form,651571,included,True,True,both sides identity-eligible: both histories updated
form,653253,included,True,True,both sides identity-eligible: both histories updated
form,655887,included,True,True,both sides identity-eligible: both histories updated
form,656430,included,True,True,both sides identity-eligible: both histories updated
form,656852,included,True,True,both sides identity-eligible: both histories updated
form,656853,included,True,True,both sides identity-eligible: both histories updated
form,657209,included,True,True,both sides identity-eligible: both histories updated
form,657380,included,True,True,both sides identity-eligible: both histories updated
form,657483,included,True,True,both sides identity-eligible: both histories updated
form,660879,included,True,True,both sides identity-eligible: both histories updated
form,661959,included,True,True,both sides identity-eligible: both histories updated
form,662108,included,True,True,both sides identity-eligible: both histories updated
form,662109,included,True,True,both sides identity-eligible: both histories updated
form,662110,included,True,True,both sides identity-eligible: both histories updated
form,662111,included,True,True,both sides identity-eligible: both histories updated
form,664712,included,True,True,both sides identity-eligible: both histories updated
form,664713,included,True,True,both sides identity-eligible: both histories updated
form,664714,included,True,True,both sides identity-eligible: both histories updated
form,664715,included,True,True,both sides identity-eligible: both histories updated
form,665456,included,True,True,both sides identity-eligible: both histories updated
form,665459,included,True,True,both sides identity-eligible: both histories updated
form,669660,included,True,True,both sides identity-eligible: both histories updated
form,669835,included,True,True,both sides identity-eligible: both histories updated
form,670009,included,True,True,both sides identity-eligible: both histories updated
form,670522,included,True,True,both sides identity-eligible: both histories updated
form,670527,included,True,True,both sides identity-eligible: both histories updated
form,671591,included,True,True,both sides identity-eligible: both histories updated
form,673506,included,True,True,both sides identity-eligible: both histories updated
form,673566,included,True,True,both sides identity-eligible: both histories updated
form,673567,included,True,True,both sides identity-eligible: both histories updated
form,673619,included,True,True,both sides identity-eligible: both histories updated
form,674022,included,True,True,both sides identity-eligible: both histories updated
form,674023,included,True,True,both sides identity-eligible: both histories updated
form,674356,included,True,True,both sides identity-eligible: both histories updated
form,674377,included,True,True,both sides identity-eligible: both histories updated
form,674486,included,True,True,both sides identity-eligible: both histories updated
form,674487,included,True,True,both sides identity-eligible: both histories updated
form,674833,included,True,True,both sides identity-eligible: both histories updated
form,676197,included,True,True,both sides identity-eligible: both histories updated
form,676198,included,True,True,both sides identity-eligible: both histories updated
form,676199,included,True,True,both sides identity-eligible: both histories updated
form,676200,included,True,True,both sides identity-eligible: both histories updated
form,676201,included,True,True,both sides identity-eligible: both histories updated
form,676202,included,True,True,both sides identity-eligible: both histories updated
form,676204,included,True,True,both sides identity-eligible: both histories updated
form,676206,included,True,True,both sides identity-eligible: both histories updated
form,677273,included,True,True,both sides identity-eligible: both histories updated
form,677665,included,True,True,both sides identity-eligible: both histories updated
form,678163,included,True,True,both sides identity-eligible: both histories updated
form,678440,included,True,True,both sides identity-eligible: both histories updated
form,679891,included,True,True,both sides identity-eligible: both histories updated
form,679892,included,True,True,both sides identity-eligible: both histories updated
form,679893,included,True,True,both sides identity-eligible: both histories updated
form,679894,included,True,True,both sides identity-eligible: both histories updated
form,679896,included,True,True,both sides identity-eligible: both histories updated
form,679898,included,True,True,team2_not_identity_eligible - only the eligible side's own history updated
form,681265,included,True,True,both sides identity-eligible: both histories updated
form,682152,included,True,True,both sides identity-eligible: both histories updated
form,682582,included,True,True,both sides identity-eligible: both histories updated
form,684490,included,True,True,both sides identity-eligible: both histories updated
form,684959,included,True,True,both sides identity-eligible: both histories updated
form,685210,included,True,True,both sides identity-eligible: both histories updated
form,685242,included,True,True,both sides identity-eligible: both histories updated
form,686697,included,True,True,both sides identity-eligible: both histories updated
form,686698,included,True,True,both sides identity-eligible: both histories updated
form,686699,included,True,True,both sides identity-eligible: both histories updated
form,686700,included,True,True,both sides identity-eligible: both histories updated
form,688032,included,True,True,both sides identity-eligible: both histories updated
form,688340,included,True,True,both sides identity-eligible: both histories updated
form,694316,included,True,True,both sides identity-eligible: both histories updated
form,694317,included,True,True,both sides identity-eligible: both histories updated
form,695006,included,True,True,both sides identity-eligible: both histories updated
