team_id,team_name
283622,Natus Vincere
283626,Heroic
283638,GamerLegion
283616,Aurora Gaming
283624,Astralis
283632,FaZe Clan
283640,FUT Esports
284592,Team Nemesis
284598,KOLESIE
284596,BIG Academy
284594,ENCE
284590,Ursa
284576,KOLESIE
284580,BIG Academy
284582,QWENTRY
284578,BULGARIAPEEK
284584,ENCE
284586,Virtus.pro
284588,Team Nemesis
281078,Team Vitality
283288,Team VACO
282882,Natus Vincere
282880,Team Spirit
282876,FURIA Esports
282878,MOUZ
282874,Team Vitality
282872,Team Spirit
282812,G2 Esports
282810,FaZe Clan
282808,B8 Esports
282778,G2 Esports
282780,Team 3DMAX
282776,Passion UA
282774,MOUZ
282770,Natus Vincere
282772,B8 Esports
282764,FURIA Esports
282766,Team 3DMAX
282760,MOUZ
282762,Passion UA
282756,paiN Gaming
282758,Imperial Esports
282754,Team Vitality
282752,FaZe Clan
282678,PARIVISION
282676,FURIA Esports
282674,Team Liquid
282672,MOUZ
282668,FaZe Clan
282670,Passion UA
282666,Team 3DMAX
282664,paiN Gaming
282662,FURIA Esports
282660,B8 Esports
282658,Team Vitality
282656,paiN Gaming
282654,Passion UA
282652,Team Spirit
282650,Imperial Esports
282648,MOUZ
282474,Ninjas in Pyjamas
282472,Team Liquid
282470,Passion UA
282462,B8 Esports
282468,Team Liquid
282460,Imperial Esports
282466,Aurora Gaming
282458,PARIVISION
282464,Fnatic
282446,Natus Vincere
282444,MIBR
282448,FlyQuest
282442,FaZe Clan
282440,Fnatic
282438,PARIVISION
282436,TYLOO
282434,Passion UA
282420,Team Liquid
282416,B8 Esports
282422,MIBR
282410,Aurora Gaming
282424,Astralis
282412,Natus Vincere
282418,Team 3DMAX
282414,TYLOO
282234,MIBR
282226,Team Liquid
282224,Natus Vincere
282222,Aurora Gaming
282236,Passion UA
282232,TYLOO
282230,Astralis
282228,Team 3DMAX
282180,PARIVISION
282178,NRG Esports
282176,Fluxo
282160,PARIVISION
282156,Imperial Esports
282152,NRG Esports
282158,RED Canids
282150,Fluxo
