tournament
PGL Astana 2026. Closed European Qualifier
BLAST Open Spring 2026
ESL Pro League Season 23
PGL Bucharest 2026. European Qualifier
PGL Cluj-Napoca 2026
IEM Atlanta 2026. Closed Qualifier
IEM Krakow 2026
IEM Atlanta 2026. Open Qualifier
BLAST Bounty Winter 2026
IEM Rio 2026. Closed Qualifier
BLAST Bounty Winter 2026. Closed Qualifiers
IEM Rio 2026. Open Qualifier
StarLadder Budapest Major 2025
BLAST Rivals Fall 2025
IEM Chengdu 2025
PGL Masters Bucharest 2025
CS2 Asia Championships 2025
Thunderpick World Championship 2025
ESL Pro League Season 22
FISSURE PLAYGROUND 2 — CS
StarLadder StarSeries Fall 2025
Thunderpick World Championship 2025. Closed Qualifier
BLAST Open London 2025
BLAST Open London 2025. Closed Qualifiers
Esports World Cup 2025 по CS2
BLAST Bounty Fall 2025
StarLadder StarSeries Fall 2025. Closed Qualifier
CS2 Asia Championships 2025. Qualifier
BLAST Bounty Fall 2025. Closed Qualifiers
IEM Cologne 2025
FISSURE PLAYGROUND 1 — CS
ESL Pro League Season 22. European Qualifier
BLAST.tv Austin Major 2025
IEM Dallas 2025
PGL Astana 2025
Asian Champions League 2025
BLAST Rivals Spring 2025
IEM Melbourne 2025
BLAST.tv Austin Major 2025. Closed Qualifier
PGL Bucharest 2025
PGL Astana 2025. Closed European Qualifier
BLAST Open Lisbon 2025
PGL Astana 2025. Open Qualifier
ESL Pro League Season 21
PGL Bucharest 2025. European Qualifiers
PGL Cluj-Napoca 2025
IEM Dallas 2025: Qualifier Europe
IEM Katowice 2025
BLAST Rising Europe Spring 2025
BLAST Rising Europe Spring 2025. Closed Qualifier
BLAST Bounty Spring 2025
BLAST Bounty Spring 2025. Closed Qualifiers
Perfect World Shanghai Major 2024
Perfect World Shanghai Major 2024: European RMR B
Perfect World Shanghai Major 2024: European RMR A
Perfect World Shanghai Major 2024: American RMR
Perfect World Shanghai Major 2024: Asia-Pacific RMR
BLAST Premier: World Final 2024
Thunderpick World Championship 2024
IEM Rio 2024
BLAST Premier: Fall Final 2024
ESL Pro League Season 20
Thunderpick World Championship 2024 - Qualifiers Europe #2
IEM Rio 2024: Qualifier СА
BetBoom Dacha Belgrade 2024 #2
Perfect World Shanghai Major 2024: Asia‍-‍Pacific Qualifier
IEM Rio 2024: Qualifier Europe
Perfect World Shanghai Major 2024: American Qualifier
BLAST Premier: Fall Showdown 2024
Perfect World Shanghai Major 2024: EU Qualifier
IEM Cologne 2024
BetBoom Dacha Belgrade 2024 #2. European Qualifier
BLAST Premier: Fall Groups 2024
BetBoom Dacha Belgrade 2024 #2. Qualifier ЮА
IEM Rio 2024: Qualifier Asia
IEM Rio 2024: Qualifier ЮА
Thunderpick World Championship 2024 - Qualifiers ЮА #2
